,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,08-03-2020,2,4,0,0
1,09-03-2020,10,14,0,0
2,10-03-2020,0,14,0,0
3,11-03-2020,5,19,0,0
4,12-03-2020,4,23,0,0
5,13-03-2020,6,29,0,0
6,14-03-2020,10,39,0,0
7,15-03-2020,17,56,0,0
8,16-03-2020,18,74,0,0
9,17-03-2020,23,97,0,0
10,18-03-2020,22,119,0,0
11,19-03-2020,27,146,1,1
12,20-03-2020,49,195,0,1
13,21-03-2020,31,226,0,1
14,22-03-2020,33,259,0,1
15,23-03-2020,42,301,0,1
16,24-03-2020,57,358,1,2
17,25-03-2020,61,419,0,2
18,26-03-2020,67,486,0,2
19,27-03-2020,56,542,0,2
20,28-03-2020,79,621,0,2
21,29-03-2020,40,661,1,3
22,30-03-2020,29,690,5,8
23,31-03-2020,64,754,1,9
24,01-04-2020,117,871,2,11
25,02-04-2020,97,968,2,13
26,03-04-2020,107,1075,5,18
27,04-04-2020,106,1181,2,20
28,05-04-2020,69,1250,3,23
29,06-04-2020,98,1348,1,24
30,07-04-2020,25,1373,2,26
31,08-04-2020,50,1423,3,29
32,09-04-2020,28,1451,3,32
33,10-04-2020,49,1500,7,39
34,11-04-2020,69,1569,1,40
35,12-04-2020,82,1651,4,44
36,13-04-2020,81,1732,2,46
37,14-04-2020,138,1870,2,48
38,15-04-2020,126,1996,0,48
39,16-04-2020,162,2158,2,50
40,17-04-2020,239,2397,0,50
41,18-04-2020,165,2562,1,51
42,19-04-2020,241,2803,4,55
43,20-04-2020,105,2908,4,59
44,21-04-2020,187,3095,2,61
45,22-04-2020,306,3401,5,66
46,23-04-2020,319,3720,2,68
47,24-04-2020,297,4017,4,72
48,25-04-2020,215,4232,1,73
49,26-04-2020,243,4475,0,73
50,27-04-2020,216,4691,2,75
51,28-04-2020,159,4850,5,80
52,29-04-2020,315,5165,7,87
53,30-04-2020,190,5355,2,89
54,01-05-2020,218,5573,3,92
55,02-05-2020,96,5669,2,94
56,03-05-2020,93,5762,1,95
57,04-05-2020,74,5836,9,104
58,05-05-2020,57,5893,2,106
59,06-05-2020,70,5963,6,112
60,07-05-2020,54,6017,2,114
61,08-05-2020,81,6098,1,115
62,09-05-2020,59,6157,1,116
63,10-05-2020,96,6253,1,117
64,11-05-2020,47,6300,0,117
65,12-05-2020,45,6345,1,118
66,13-05-2020,62,6407,2,120
67,14-05-2020,50,6457,1,121
68,15-05-2020,57,6514,4,125
69,16-05-2020,72,6586,1,126
70,17-05-2020,57,6643,1,127
71,18-05-2020,39,6682,1,128
72,19-05-2020,33,6715,0,128
73,20-05-2020,19,6734,0,128
74,21-05-2020,33,6767,4,132
75,22-05-2020,32,6799,2,134
76,23-05-2020,18,6817,1,135
77,24-05-2020,42,6859,0,135
78,25-05-2020,19,6878,3,138
79,26-05-2020,22,6900,1,139
80,27-05-2020,25,6925,2,141
81,28-05-2020,29,6954,2,143
82,29-05-2020,24,6978,0,143
83,30-05-2020,14,6992,0,143
84,31-05-2020,18,7010,0,143
85,01-06-2020,34,7044,0,143
86,02-06-2020,13,7057,0,143
87,03-06-2020,19,7076,2,145
88,04-06-2020,15,7091,1,146
89,05-06-2020,7,7098,0,146
90,06-06-2020,40,7138,0,146
91,07-06-2020,0,7138,0,146
92,08-06-2020,64,7202,2,148
93,09-06-2020,27,7229,1,149
94,10-06-2020,47,7276,0,149
95,11-06-2020,40,7316,0,149
96,12-06-2020,30,7346,0,149
97,13-06-2020,37,7383,1,150
98,14-06-2020,50,7433,0,150
99,15-06-2020,14,7447,1,151
100,16-06-2020,35,7482,0,151
101,17-06-2020,48,7530,0,151
102,18-06-2020,49,7579,1,152
103,19-06-2020,46,7625,0,152
104,20-06-2020,48,7673,0,152
105,21-06-2020,31,7704,0,152
106,22-06-2020,32,7736,1,153
107,23-06-2020,45,7781,0,153
108,24-06-2020,44,7825,0,153
109,25-06-2020,26,7851,1,154
110,26-06-2020,37,7888,0,154
111,27-06-2020,69,7957,0,154
112,28-06-2020,39,7996,0,154
113,29-06-2020,71,8067,0,154
114,30-06-2020,41,8108,0,154
115,01-07-2020,0,8108,0,154
116,02-07-2020,94,8202,1,155
117,03-07-2020,57,8259,0,155
118,04-07-2020,0,8259,0,155
119,05-07-2020,0,8259,0,155
120,06-07-2020,130,8389,0,155
121,07-07-2020,47,8436,2,157
122,08-07-2020,46,8482,1,158
123,09-07-2020,37,8519,2,160
124,10-07-2020,77,8596,0,160
125,11-07-2020,0,8596,0,160
126,12-07-2020,0,8596,0,160
127,13-07-2020,230,8826,1,161
128,14-07-2020,86,8912,2,163
129,15-07-2020,82,8994,0,163
130,16-07-2020,120,9114,2,165
131,17-07-2020,105,9219,2,167
132,18-07-2020,0,9219,0,167
133,19-07-2020,0,9219,0,167
134,20-07-2020,368,9587,3,170
135,21-07-2020,141,9728,1,171
136,22-07-2020,133,9861,2,173
137,23-07-2020,112,9973,2,175
138,24-07-2020,111,10084,2,177
139,25-07-2020,0,10084,0,177
140,26-07-2020,0,10084,0,177
141,27-07-2020,303,10387,8,185
142,28-07-2020,79,10466,2,187
143,29-07-2020,133,10599,3,190
144,30-07-2020,113,10712,5,195
145,31-07-2020,127,10839,1,196
146,01-08-2020,0,10839,0,196
147,02-08-2020,0,10839,0,196
148,03-08-2020,0,10839,0,196
149,04-08-2020,305,11144,5,201
150,05-08-2020,94,11238,2,203
151,06-08-2020,56,11294,2,205
152,07-08-2020,136,11430,3,208
153,08-08-2020,0,11430,0,208
154,09-08-2020,0,11430,0,208
155,10-08-2020,257,11687,5,213
156,11-08-2020,85,11772,3,216
157,12-08-2020,121,11893,1,217
158,13-08-2020,76,11969,3,220
159,14-08-2020,84,12053,1,221
160,15-08-2020,0,12053,0,221
161,16-08-2020,0,12053,0,221
162,17-08-2020,277,12330,3,224
163,18-08-2020,89,12419,1,225
164,19-08-2020,82,12501,2,227
165,20-08-2020,103,12604,1,228
166,21-08-2020,144,12748,2,230
167,22-08-2020,0,12748,0,230
168,23-08-2020,0,12748,0,230
169,24-08-2020,258,13006,4,234
170,25-08-2020,77,13083,1,235
171,26-08-2020,127,13210,0,235
172,27-08-2020,108,13318,2,237
173,28-08-2020,158,13476,0,237
174,29-08-2020,0,13476,0,237
175,30-08-2020,0,13476,0,237
176,31-08-2020,426,13902,2,239
177,01-09-2020,164,14066,2,241
178,02-09-2020,114,14180,1,242
179,03-09-2020,130,14310,0,242
180,04-09-2020,164,14474,0,242
181,05-09-2020,0,14474,0,242
182,06-09-2020,0,14474,0,242
183,07-09-2020,0,14474,0,242
184,08-09-2020,619,15093,5,247
185,09-09-2020,98,15191,1,248
186,10-09-2020,113,15304,5,253
187,11-09-2020,111,15415,0,253
188,12-09-2020,0,15415,0,253
189,13-09-2020,0,15415,0,253
190,14-09-2020,418,15833,1,254
191,15-09-2020,124,15957,0,254
192,16-09-2020,171,16128,0,254
193,17-09-2020,146,16274,0,254
194,18-09-2020,107,16381,1,255
195,19-09-2020,0,16381,0,255
196,20-09-2020,0,16381,0,255
197,21-09-2020,358,16739,1,256
198,22-09-2020,150,16889,2,258
199,23-09-2020,143,17032,2,260
200,24-09-2020,158,17190,1,261
201,25-09-2020,153,17343,0,261
202,26-09-2020,0,17343,0,261
203,27-09-2020,0,17343,0,261
204,28-09-2020,406,17749,4,265
205,29-09-2020,160,17909,1,266
206,30-09-2020,153,18062,1,267
207,01-10-2020,173,18235,2,269
208,02-10-2020,122,18357,3,272
209,03-10-2020,0,18357,0,272
210,04-10-2020,0,18357,0,272
211,05-10-2020,576,18933,8,280
212,06-10-2020,275,19208,1,281
213,07-10-2020,142,19350,0,281
214,08-10-2020,362,19712,1,282
215,09-10-2020,277,19989,0,282
216,10-10-2020,0,19989,0,282
217,11-10-2020,0,19989,0,282
218,12-10-2020,0,19989,0,282
219,13-10-2020,967,20956,4,286
220,14-10-2020,243,21199,1,287
221,15-10-2020,244,21443,1,288
222,16-10-2020,332,21775,0,288
223,17-10-2020,0,21775,0,288
224,18-10-2020,0,21775,0,288
225,19-10-2020,898,22673,4,292
226,20-10-2020,323,22996,1,293
227,21-10-2020,406,23402,3,296
228,22-10-2020,427,23829,0,296
229,23-10-2020,432,24261,4,300
230,24-10-2020,0,24261,0,300
231,25-10-2020,0,24261,0,300
232,26-10-2020,1472,25733,7,307
233,27-10-2020,422,26155,2,309
234,28-10-2020,410,26565,4,313
235,29-10-2020,477,27042,5,318
236,30-10-2020,622,27664,5,323
237,31-10-2020,0,27664,0,323
238,01-11-2020,0,27664,0,323
239,02-11-2020,0,27664,0,323
240,03-11-2020,2268,29932,15,338
241,04-11-2020,515,30447,5,343
242,05-11-2020,0,30447,0,343
243,06-11-2020,1411,31858,9,352
244,07-11-2020,0,31858,5,357
245,08-11-2020,0,31858,6,363
246,09-11-2020,2302,34160,7,370
247,10-11-2020,713,34873,6,376
248,11-11-2020,0,34873,7,383
249,12-11-2020,1532,36405,10,393
250,13-11-2020,907,37312,5,398
251,14-11-2020,0,37312,3,401
252,15-11-2020,0,37312,6,407
253,16-11-2020,2877,40189,20,427
254,17-11-2020,773,40962,5,432
255,18-11-2020,730,41692,11,443
256,19-11-2020,1105,42797,8,451
257,20-11-2020,1155,43952,11,462
258,21-11-2020,1336,45288,9,471
259,22-11-2020,1584,46872,0,471
260,23-11-2020,1549,48421,5,476
261,24-11-2020,1115,49536,15,491
262,25-11-2020,1265,50801,9,500
263,26-11-2020,1077,51878,10,510
264,27-11-2020,1227,53105,9,519
265,28-11-2020,1731,54836,5,524
266,29-11-2020,1608,56444,9,533
267,30-11-2020,1733,58177,8,541
268,01-12-2020,1307,59484,10,551
269,02-12-2020,1685,61169,10,561
