,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,08-03-2020,0,0,0,0
1,09-03-2020,0,0,0,0
2,10-03-2020,0,0,0,0
3,11-03-2020,0,0,0,0
4,12-03-2020,0,0,0,0
5,13-03-2020,0,0,0,0
6,14-03-2020,1,1,0,0
7,15-03-2020,0,1,0,0
8,16-03-2020,0,1,0,0
9,17-03-2020,2,3,0,0
10,18-03-2020,0,3,0,0
11,19-03-2020,0,3,0,0
12,20-03-2020,1,4,0,0
13,21-03-2020,2,6,0,0
14,22-03-2020,3,9,0,0
15,23-03-2020,15,24,0,0
16,24-03-2020,11,35,0,0
17,25-03-2020,32,67,0,0
18,26-03-2020,15,82,0,0
19,27-03-2020,20,102,0,0
20,28-03-2020,18,120,0,0
21,29-03-2020,15,135,0,0
22,30-03-2020,13,148,1,1
23,31-03-2020,4,152,0,1
24,01-04-2020,23,175,0,1
25,02-04-2020,8,183,0,1
26,03-04-2020,12,195,0,1
27,04-04-2020,8,203,0,1
28,05-04-2020,14,217,0,1
29,06-04-2020,9,226,1,2
30,07-04-2020,2,228,0,2
31,08-04-2020,4,232,0,2
32,09-04-2020,4,236,0,2
33,10-04-2020,3,239,1,3
34,11-04-2020,2,241,0,3
35,12-04-2020,1,242,0,3
36,13-04-2020,2,244,0,3
37,14-04-2020,0,244,0,3
38,15-04-2020,3,247,0,3
39,16-04-2020,5,252,0,3
40,17-04-2020,4,256,0,3
41,18-04-2020,0,256,0,3
42,19-04-2020,0,256,0,3
43,20-04-2020,0,256,0,3
44,21-04-2020,0,256,0,3
45,22-04-2020,0,256,0,3
46,23-04-2020,0,256,0,3
47,24-04-2020,0,256,0,3
48,25-04-2020,1,257,0,3
49,26-04-2020,1,258,0,3
50,27-04-2020,0,258,0,3
51,28-04-2020,0,258,0,3
52,29-04-2020,0,258,0,3
53,30-04-2020,0,258,0,3
54,01-05-2020,1,259,0,3
55,02-05-2020,0,259,0,3
56,03-05-2020,0,259,0,3
57,04-05-2020,0,259,0,3
58,05-05-2020,0,259,0,3
59,06-05-2020,0,259,0,3
60,07-05-2020,1,260,0,3
61,08-05-2020,0,260,0,3
62,09-05-2020,0,260,0,3
63,10-05-2020,0,260,0,3
64,11-05-2020,0,260,0,3
65,12-05-2020,0,260,0,3
66,13-05-2020,0,260,0,3
67,14-05-2020,0,260,0,3
68,15-05-2020,0,260,0,3
69,16-05-2020,0,260,0,3
70,17-05-2020,0,260,0,3
71,18-05-2020,0,260,0,3
72,19-05-2020,0,260,0,3
73,20-05-2020,0,260,0,3
74,21-05-2020,0,260,0,3
75,22-05-2020,0,260,0,3
76,23-05-2020,0,260,0,3
77,24-05-2020,0,260,0,3
78,25-05-2020,0,260,0,3
79,26-05-2020,0,260,0,3
80,27-05-2020,0,260,0,3
81,28-05-2020,1,261,0,3
82,29-05-2020,0,261,0,3
83,30-05-2020,0,261,0,3
84,31-05-2020,0,261,0,3
85,01-06-2020,0,261,0,3
86,02-06-2020,0,261,0,3
87,03-06-2020,0,261,0,3
88,04-06-2020,0,261,0,3
89,05-06-2020,0,261,0,3
90,06-06-2020,0,261,0,3
91,07-06-2020,0,261,0,3
92,08-06-2020,0,261,0,3
93,09-06-2020,0,261,0,3
94,10-06-2020,0,261,0,3
95,11-06-2020,0,261,0,3
96,12-06-2020,0,261,0,3
97,13-06-2020,0,261,0,3
98,14-06-2020,0,261,0,3
99,15-06-2020,0,261,0,3
100,16-06-2020,0,261,0,3
101,17-06-2020,0,261,0,3
102,18-06-2020,0,261,0,3
103,19-06-2020,0,261,0,3
104,20-06-2020,0,261,0,3
105,21-06-2020,0,261,0,3
106,22-06-2020,0,261,0,3
107,23-06-2020,0,261,0,3
108,24-06-2020,0,261,0,3
109,25-06-2020,0,261,0,3
110,26-06-2020,0,261,0,3
111,27-06-2020,0,261,0,3
112,28-06-2020,0,261,0,3
113,29-06-2020,0,261,0,3
114,30-06-2020,0,261,0,3
115,01-07-2020,0,261,0,3
116,02-07-2020,0,261,0,3
117,03-07-2020,0,261,0,3
118,04-07-2020,0,261,0,3
119,05-07-2020,0,261,0,3
120,06-07-2020,0,261,0,3
121,07-07-2020,0,261,0,3
122,08-07-2020,0,261,0,3
123,09-07-2020,0,261,0,3
124,10-07-2020,1,262,0,3
125,11-07-2020,0,262,0,3
126,12-07-2020,0,262,0,3
127,13-07-2020,0,262,0,3
128,14-07-2020,0,262,0,3
129,15-07-2020,0,262,0,3
130,16-07-2020,0,262,0,3
131,17-07-2020,0,262,0,3
132,18-07-2020,0,262,0,3
133,19-07-2020,0,262,0,3
134,20-07-2020,0,262,0,3
135,21-07-2020,1,263,0,3
136,22-07-2020,1,264,0,3
137,23-07-2020,0,264,0,3
