,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,08-03-2020,4,32,0,0
1,09-03-2020,3,35,0,0
2,10-03-2020,2,37,0,0
3,11-03-2020,5,42,1,1
4,12-03-2020,17,59,0,1
5,13-03-2020,20,79,0,1
6,14-03-2020,24,103,0,1
7,15-03-2020,42,145,0,1
8,16-03-2020,32,177,0,1
9,17-03-2020,12,189,0,1
10,18-03-2020,25,214,0,1
11,19-03-2020,44,258,1,2
12,20-03-2020,60,318,0,2
13,21-03-2020,59,377,1,3
14,22-03-2020,48,425,3,6
15,23-03-2020,78,503,0,6
16,24-03-2020,85,588,2,8
17,25-03-2020,99,687,5,13
18,26-03-2020,170,857,2,15
19,27-03-2020,135,992,3,18
20,28-03-2020,151,1143,1,19
21,29-03-2020,211,1354,4,23
22,30-03-2020,350,1704,11,34
23,31-03-2020,260,1964,24,58
24,01-04-2020,885,2849,13,71
25,02-04-2020,436,3285,14,85
26,03-04-2020,396,3681,18,103
27,04-04-2020,335,4016,29,132
28,05-04-2020,422,4438,9,141
29,06-04-2020,400,4838,21,162
30,07-04-2020,549,5387,27,189
31,08-04-2020,448,5835,22,211
32,09-04-2020,558,6393,22,233
33,10-04-2020,408,6801,35,268
34,11-04-2020,488,7289,21,289
35,12-04-2020,428,7717,13,302
36,13-04-2020,500,8217,30,332
37,14-04-2020,560,8777,65,397
38,15-04-2020,522,9299,48,445
39,16-04-2020,519,9818,53,498
40,17-04-2020,622,10440,35,533
41,18-04-2020,565,11005,38,571
42,19-04-2020,531,11536,31,602
43,20-04-2020,673,12209,49,651
44,21-04-2020,493,12702,46,697
45,22-04-2020,706,13408,60,757
46,23-04-2020,580,13988,41,798
47,24-04-2020,493,14481,52,850
48,25-04-2020,427,14908,48,898
49,26-04-2020,484,15392,47,945
50,27-04-2020,431,15823,57,1002
51,28-04-2020,475,16298,48,1050
52,29-04-2020,472,16770,83,1133
53,30-04-2020,393,17163,43,1176
54,01-05-2020,551,17714,61,1237
55,02-05-2020,437,18151,27,1264
56,03-05-2020,243,18394,38,1302
57,04-05-2020,551,18945,124,1426
58,05-05-2020,380,19325,59,1485
59,06-05-2020,449,19774,59,1544
60,07-05-2020,481,20255,47,1591
61,08-05-2020,430,20685,57,1648
62,09-05-2020,320,21005,60,1708
63,10-05-2020,314,21319,18,1726
64,11-05-2020,363,21682,49,1775
65,12-05-2020,344,22026,63,1838
66,13-05-2020,353,22379,32,1870
67,14-05-2020,351,22730,31,1901
68,15-05-2020,391,23121,24,1925
69,16-05-2020,371,23492,34,1959
70,17-05-2020,333,23825,23,1982
71,18-05-2020,318,24143,20,2002
72,19-05-2020,504,24647,15,2017
73,20-05-2020,438,25085,49,2066
74,21-05-2020,405,25490,24,2090
75,22-05-2020,497,25987,22,2112
76,23-05-2020,470,26457,27,2139
77,24-05-2020,338,26795,24,2163
78,25-05-2020,419,27214,29,2192
79,26-05-2020,325,27539,23,2215
80,27-05-2020,319,27858,31,2246
81,28-05-2020,383,28241,28,2274
82,29-05-2020,371,28612,22,2296
83,30-05-2020,326,28938,19,2315
84,31-05-2020,372,29310,12,2327
85,01-06-2020,463,29773,8,2335
