reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
08-03-2020,0,27,1,1
09-03-2020,5,32,0,1
10-03-2020,7,39,0,1
11-03-2020,7,46,0,1
12-03-2020,7,53,0,1
13-03-2020,11,64,0,1
14-03-2020,9,73,0,1
15-03-2020,0,73,0,1
16-03-2020,30,103,3,4
17-03-2020,83,186,3,7
18-03-2020,45,231,0,7
19-03-2020,40,271,1,8
20-03-2020,77,348,1,9
21-03-2020,76,424,1,10
22-03-2020,0,424,0,10
23-03-2020,48,472,3,13
24-03-2020,145,617,0,13
25-03-2020,42,659,1,14
26-03-2020,66,725,0,14
27-03-2020,67,792,2,16
28-03-2020,92,884,1,17
29-03-2020,0,884,0,17
30-03-2020,86,970,2,19
31-03-2020,43,1013,5,24
01-04-2020,53,1066,1,25
02-04-2020,55,1121,6,31
03-04-2020,53,1174,4,35
04-04-2020,29,1203,3,38
05-04-2020,0,1203,0,38
06-04-2020,63,1266,1,39
07-04-2020,25,1291,4,43
08-04-2020,45,1336,5,48
09-04-2020,34,1370,2,50
10-04-2020,40,1410,5,55
11-04-2020,35,1445,3,58
12-04-2020,0,1445,0,58
13-04-2020,45,1490,11,69
14-04-2020,27,1517,3,72
15-04-2020,44,1561,3,75
16-04-2020,14,1575,2,77
17-04-2020,43,1618,1,78
18-04-2020,29,1647,3,81
19-04-2020,0,1647,0,81
20-04-2020,52,1699,5,86
21-04-2020,25,1724,1,87
22-04-2020,71,1795,3,90
23-04-2020,29,1824,4,94
24-04-2020,29,1853,4,98
25-04-2020,95,1948,2,100
26-04-2020,0,1948,0,100
27-04-2020,50,1998,3,103
28-04-2020,55,2053,2,105
29-04-2020,34,2087,4,109
30-04-2020,24,2111,2,111
01-05-2020,33,2144,1,112
02-05-2020,26,2170,2,114
03-05-2020,0,2170,0,114
04-05-2020,53,2223,3,117
05-05-2020,8,2231,4,121
06-05-2020,23,2254,3,124
07-05-2020,31,2285,2,126
08-05-2020,29,2314,1,127
09-05-2020,15,2329,2,129
10-05-2020,0,2329,0,129
11-05-2020,23,2352,1,130
12-05-2020,7,2359,1,131
13-05-2020,17,2376,1,132
14-05-2020,15,2391,3,135
15-05-2020,15,2406,5,140
16-05-2020,21,2427,1,141
17-05-2020,0,2427,0,141
18-05-2020,16,2443,2,143
19-05-2020,2,2445,3,146
20-05-2020,21,2466,3,149
21-05-2020,12,2478,3,152
22-05-2020,28,2506,3,155
23-05-2020,10,2516,2,157
24-05-2020,0,2516,0,157
25-05-2020,13,2529,4,161
26-05-2020,11,2540,0,161
27-05-2020,8,2548,1,162
28-05-2020,9,2557,2,164
29-05-2020,4,2561,0,164
30-05-2020,11,2572,0,164
31-05-2020,0,2572,0,164
01-06-2020,24,2596,1,165
02-06-2020,4,2600,0,165
03-06-2020,21,2621,1,166
04-06-2020,6,2627,0,166
05-06-2020,1,2628,1,167
06-06-2020,0,2628,0,167
07-06-2020,0,2628,0,167
08-06-2020,28,2656,0,167
09-06-2020,10,2666,0,167
10-06-2020,12,2678,0,167
11-06-2020,14,2692,0,167
12-06-2020,16,2708,1,168
