reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
12-03-2020,1,1,0,0
13-03-2020,3,4,0,0
14-03-2020,0,4,0,0
15-03-2020,3,7,0,0
16-03-2020,1,8,0,0
17-03-2020,7,15,0,0
18-03-2020,2,17,0,0
19-03-2020,0,17,0,0
20-03-2020,0,17,0,0
21-03-2020,2,19,0,0
22-03-2020,0,19,0,0
23-03-2020,1,20,0,0
24-03-2020,1,21,0,0
25-03-2020,14,35,0,0
26-03-2020,1,36,0,0
27-03-2020,3,39,1,1
28-03-2020,25,64,0,1
29-03-2020,8,72,0,1
30-03-2020,24,96,0,1
31-03-2020,7,103,0,1
01-04-2020,24,127,0,1
02-04-2020,40,167,0,1
03-04-2020,15,182,1,2
04-04-2020,12,194,0,2
05-04-2020,9,203,0,2
06-04-2020,1,204,0,2
07-04-2020,13,217,1,3
08-04-2020,4,221,0,3
09-04-2020,3,224,0,3
10-04-2020,6,230,1,4
11-04-2020,12,242,0,4
12-04-2020,0,242,0,4
13-04-2020,2,244,0,4
14-04-2020,0,244,0,4
15-04-2020,2,246,1,5
16-04-2020,4,250,0,5
17-04-2020,0,250,0,5
18-04-2020,3,253,0,5
19-04-2020,0,253,0,5
20-04-2020,1,254,1,6
21-04-2020,1,255,0,6
22-04-2020,2,257,0,6
23-04-2020,5,262,0,6
24-04-2020,1,263,0,6
25-04-2020,4,267,0,6
26-04-2020,4,271,0,6
27-04-2020,1,272,0,6
28-04-2020,0,272,0,6
29-04-2020,1,273,0,6
30-04-2020,2,275,0,6
01-05-2020,4,279,0,6
02-05-2020,0,279,0,6
03-05-2020,1,280,0,6
04-05-2020,0,280,0,6
05-05-2020,1,281,1,7
06-05-2020,2,283,0,7
07-05-2020,0,283,0,7
08-05-2020,1,284,0,7
09-05-2020,0,284,0,7
10-05-2020,3,287,0,7
11-05-2020,2,289,0,7
12-05-2020,0,289,0,7
13-05-2020,0,289,0,7
14-05-2020,0,289,0,7
15-05-2020,0,289,0,7
16-05-2020,0,289,0,7
17-05-2020,0,289,0,7
18-05-2020,1,290,0,7
19-05-2020,0,290,0,7
20-05-2020,0,290,0,7
21-05-2020,0,290,0,7
22-05-2020,2,292,0,7
23-05-2020,0,292,0,7
24-05-2020,0,292,0,7
25-05-2020,0,292,0,7
26-05-2020,0,292,0,7
27-05-2020,0,292,0,7
28-05-2020,2,294,0,7
29-05-2020,0,294,0,7
30-05-2020,0,294,0,7
31-05-2020,1,295,0,7
01-06-2020,0,295,0,7
02-06-2020,2,297,0,7
03-06-2020,1,298,0,7
04-06-2020,0,298,0,7
05-06-2020,2,300,0,7
06-06-2020,0,300,0,7
07-06-2020,0,300,0,7
08-06-2020,0,300,0,7
09-06-2020,0,300,0,7
10-06-2020,0,300,0,7
11-06-2020,0,300,0,7
12-06-2020,1,301,0,7
13-06-2020,2,303,0,7
14-06-2020,1,304,0,7
15-06-2020,0,304,0,7
16-06-2020,0,304,0,7
17-06-2020,2,306,0,7
18-06-2020,2,308,0,7
19-06-2020,3,311,0,7
20-06-2020,2,313,0,7
21-06-2020,0,313,0,7
22-06-2020,1,314,0,7
23-06-2020,0,314,0,7
24-06-2020,1,315,0,7
25-06-2020,1,316,0,7
26-06-2020,2,318,0,7
27-06-2020,4,322,0,7
28-06-2020,0,322,0,7
29-06-2020,2,324,0,7
30-06-2020,1,325,0,7
01-07-2020,0,325,0,7
02-07-2020,0,325,0,7
03-07-2020,0,325,0,7
04-07-2020,0,325,0,7
05-07-2020,0,325,0,7
06-07-2020,0,325,0,7
07-07-2020,0,325,0,7
08-07-2020,0,325,0,7
09-07-2020,0,325,0,7
10-07-2020,0,325,0,7
11-07-2020,0,325,0,7
12-07-2020,0,325,0,7
13-07-2020,0,325,0,7
14-07-2020,5,330,0,7
15-07-2020,0,330,0,7
16-07-2020,1,331,0,7
17-07-2020,5,336,0,7
18-07-2020,0,336,0,7
19-07-2020,0,336,0,7
20-07-2020,18,354,0,7
21-07-2020,12,366,0,7
22-07-2020,8,374,0,7
23-07-2020,1,375,0,7
24-07-2020,9,384,0,7
25-07-2020,0,384,0,7
26-07-2020,0,384,0,7
27-07-2020,15,399,0,7
28-07-2020,5,404,1,8
29-07-2020,3,407,0,8
30-07-2020,2,409,0,8
31-07-2020,6,415,0,8
01-08-2020,0,415,0,8
02-08-2020,0,415,0,8
03-08-2020,0,415,0,8
04-08-2020,27,442,0,8
05-08-2020,2,444,0,8
06-08-2020,30,474,0,8
07-08-2020,17,491,0,8
08-08-2020,16,507,0,8
09-08-2020,35,542,0,8
10-08-2020,16,558,0,8
