reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
06-11-2020,1,1,0,0
07-11-2020,0,1,0,0
08-11-2020,1,2,0,0
09-11-2020,0,2,0,0
10-11-2020,0,2,0,0
11-11-2020,1,3,0,0
12-11-2020,0,3,0,0
13-11-2020,1,4,0,0
14-11-2020,4,8,0,0
15-11-2020,10,18,0,0
16-11-2020,8,26,0,0
17-11-2020,34,60,0,0
18-11-2020,10,70,0,0
19-11-2020,4,74,0,0
20-11-2020,10,84,0,0
21-11-2020,25,109,0,0
22-11-2020,21,130,0,0
23-11-2020,4,134,0,0
24-11-2020,10,144,0,0
25-11-2020,11,155,0,0
26-11-2020,0,155,0,0
27-11-2020,4,159,0,0
28-11-2020,5,164,0,0
29-11-2020,13,177,0,0
30-11-2020,4,181,0,0
01-12-2020,1,182,0,0
02-12-2020,11,193,0,0
03-12-2020,5,198,0,0
04-12-2020,8,206,0,0
05-12-2020,8,214,0,0
06-12-2020,2,216,0,0
07-12-2020,3,219,0,0
08-12-2020,1,220,0,0
09-12-2020,9,229,0,0
10-12-2020,0,229,0,0
11-12-2020,16,245,0,0
12-12-2020,2,247,0,0
13-12-2020,0,247,0,0
14-12-2020,9,256,0,0
15-12-2020,2,258,0,0
16-12-2020,0,258,0,0
17-12-2020,1,259,0,0
18-12-2020,0,259,0,0
19-12-2020,0,259,0,0
20-12-2020,0,259,1,1
21-12-2020,3,262,0,1
22-12-2020,0,262,0,1
23-12-2020,2,264,0,1
24-12-2020,1,265,0,1
25-12-2020,0,265,0,1
26-12-2020,0,265,0,1
27-12-2020,0,265,0,1
28-12-2020,1,266,0,1
29-12-2020,0,266,0,1
30-12-2020,0,266,0,1
31-12-2020,0,266,0,1
01-01-2021,0,266,0,1
02-01-2021,0,266,0,1
03-01-2021,0,266,0,1
04-01-2021,0,266,0,1
05-01-2021,0,266,0,1
06-01-2021,0,266,0,1
07-01-2021,0,266,0,1
08-01-2021,0,266,0,1
09-01-2021,0,266,0,1
10-01-2021,0,266,0,1
11-01-2021,0,266,0,1
12-01-2021,0,266,0,1
13-01-2021,0,266,0,1
14-01-2021,0,266,0,1
15-01-2021,0,266,0,1
16-01-2021,0,266,0,1
17-01-2021,0,266,0,1
18-01-2021,0,266,0,1
19-01-2021,0,266,0,1
20-01-2021,0,266,0,1
21-01-2021,0,266,0,1
22-01-2021,0,266,0,1
