reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
08-03-2020,4,32,0,0
09-03-2020,3,35,0,0
10-03-2020,2,37,0,0
11-03-2020,5,42,1,1
12-03-2020,17,59,0,1
13-03-2020,20,79,0,1
14-03-2020,24,103,0,1
15-03-2020,42,145,0,1
16-03-2020,32,177,0,1
17-03-2020,12,189,0,1
18-03-2020,25,214,0,1
19-03-2020,44,258,1,2
20-03-2020,60,318,0,2
21-03-2020,59,377,1,3
22-03-2020,48,425,3,6
23-03-2020,78,503,0,6
24-03-2020,85,588,2,8
25-03-2020,99,687,5,13
26-03-2020,170,857,2,15
27-03-2020,135,992,3,18
28-03-2020,151,1143,1,19
29-03-2020,211,1354,4,23
30-03-2020,350,1704,11,34
31-03-2020,260,1964,24,58
01-04-2020,885,2849,13,71
02-04-2020,436,3285,14,85
03-04-2020,396,3681,18,103
04-04-2020,335,4016,29,132
05-04-2020,422,4438,9,141
06-04-2020,400,4838,21,162
07-04-2020,549,5387,27,189
08-04-2020,448,5835,22,211
09-04-2020,558,6393,22,233
10-04-2020,408,6801,35,268
11-04-2020,488,7289,21,289
12-04-2020,428,7717,13,302
13-04-2020,500,8217,30,332
14-04-2020,560,8777,65,397
15-04-2020,522,9299,48,445
16-04-2020,519,9818,53,498
17-04-2020,622,10440,35,533
18-04-2020,565,11005,38,571
19-04-2020,531,11536,31,602
20-04-2020,673,12209,49,651
21-04-2020,493,12702,46,697
22-04-2020,706,13408,60,757
23-04-2020,580,13988,41,798
24-04-2020,493,14481,52,850
25-04-2020,427,14908,48,898
26-04-2020,484,15392,47,945
27-04-2020,431,15823,57,1002
28-04-2020,475,16298,48,1050
29-04-2020,472,16770,83,1133
30-04-2020,393,17163,43,1176
01-05-2020,551,17714,61,1237
02-05-2020,437,18151,27,1264
03-05-2020,243,18394,38,1302
04-05-2020,551,18945,124,1426
05-05-2020,380,19325,59,1485
06-05-2020,449,19774,59,1544
07-05-2020,481,20255,47,1591
08-05-2020,430,20685,57,1648
09-05-2020,320,21005,60,1708
10-05-2020,314,21319,18,1726
11-05-2020,363,21682,49,1775
12-05-2020,344,22026,63,1838
13-05-2020,353,22379,32,1870
14-05-2020,351,22730,31,1901
15-05-2020,391,23121,24,1925
16-05-2020,371,23492,34,1959
17-05-2020,333,23825,23,1982
18-05-2020,318,24143,20,2002
19-05-2020,504,24647,15,2017
20-05-2020,438,25085,49,2066
21-05-2020,405,25490,24,2090
22-05-2020,497,25987,22,2112
23-05-2020,470,26457,27,2139
24-05-2020,338,26795,24,2163
25-05-2020,419,27214,29,2192
26-05-2020,325,27539,23,2215
27-05-2020,319,27858,31,2246
28-05-2020,383,28241,28,2274
29-05-2020,371,28612,22,2296
30-05-2020,326,28938,19,2315
31-05-2020,372,29310,12,2327
01-06-2020,463,29773,8,2335
02-06-2020,415,30188,19,2354
03-06-2020,352,30540,18,2372
04-06-2020,342,30882,45,2417
05-06-2020,416,31298,10,2427
06-06-2020,252,31550,37,2464
07-06-2020,473,32023,19,2483
08-06-2020,312,32335,23,2506
09-06-2020,279,32614,12,2518
10-06-2020,259,32873,7,2525
11-06-2020,237,33110,17,2542
12-06-2020,211,33321,10,2552
13-06-2020,247,33568,10,2562
14-06-2020,175,33743,8,2570
15-06-2020,205,33948,9,2579
16-06-2020,191,34139,14,2593
17-06-2020,197,34336,6,2599
18-06-2020,185,34521,4,2603
19-06-2020,211,34732,10,2613
