reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
08-03-2020,1,4,0,0
09-03-2020,1,5,0,0
10-03-2020,0,5,0,0
11-03-2020,3,8,0,0
12-03-2020,9,17,0,0
13-03-2020,0,17,0,0
14-03-2020,7,24,0,0
15-03-2020,15,39,0,0
16-03-2020,11,50,0,0
17-03-2020,24,74,0,0
18-03-2020,20,94,1,1
19-03-2020,27,121,0,1
20-03-2020,18,139,0,1
21-03-2020,42,181,3,4
22-03-2020,38,219,0,4
23-03-2020,409,628,0,4
24-03-2020,412,1040,0,4
25-03-2020,299,1339,2,6
26-03-2020,290,1629,2,8
27-03-2020,392,2021,10,18
28-03-2020,477,2498,4,22
29-03-2020,342,2840,0,22
30-03-2020,590,3430,3,25
31-03-2020,732,4162,6,31
01-04-2020,449,4611,2,33
02-04-2020,907,5518,3,36
03-04-2020,583,6101,25,61
04-04-2020,896,6997,14,75
05-04-2020,947,7944,19,94
06-04-2020,636,8580,27,121
07-04-2020,760,9340,29,150
08-04-2020,691,10031,25,175
09-04-2020,881,10912,41,216
10-04-2020,765,11677,25,241
11-04-2020,615,12292,48,289
12-04-2020,554,12846,39,328
13-04-2020,711,13557,32,360
14-04-2020,691,14248,75,435
15-04-2020,612,14860,52,487
16-04-2020,997,15857,122,609
17-04-2020,941,16798,79,688
18-04-2020,722,17520,117,805
19-04-2020,834,18354,72,877
20-04-2020,961,19315,62,939
21-04-2020,806,20121,102,1041
22-04-2020,838,20959,93,1134
23-04-2020,873,21832,109,1243
24-04-2020,774,22606,97,1340
25-04-2020,653,23259,106,1446
26-04-2020,840,24099,69,1515
27-04-2020,870,24969,84,1599
28-04-2020,777,25746,83,1682
29-04-2020,843,26589,79,1761
30-04-2020,948,27537,98,1859
01-05-2020,1110,28647,163,2022
02-05-2020,1008,29655,114,2136
03-05-2020,2203,31858,69,2205
04-05-2020,759,32617,75,2280
05-05-2020,795,33412,118,2398
06-05-2020,910,34322,112,2510
07-05-2020,915,35237,121,2631
08-05-2020,913,36150,94,2725
09-05-2020,836,36986,61,2786
10-05-2020,735,37721,142,2928
11-05-2020,748,38469,85,3013
12-05-2020,756,39225,118,3131
13-05-2020,705,39930,89,3220
14-05-2020,793,40723,131,3351
15-05-2020,697,41420,50,3401
16-05-2020,763,42183,82,3483
17-05-2020,735,42918,79,3562
18-05-2020,709,43627,34,3596
19-05-2020,570,44197,51,3647
20-05-2020,578,44775,71,3718
21-05-2020,720,45495,82,3800
22-05-2020,645,46140,65,3865
23-05-2020,698,46838,75,3940
24-05-2020,573,47411,44,3984
25-05-2020,573,47984,85,4069
26-05-2020,614,48598,70,4139
27-05-2020,539,49137,89,4228
28-05-2020,564,49701,74,4302
29-05-2020,529,50230,61,4363
30-05-2020,419,50649,76,4439
31-05-2020,410,51059,202,4641
01-06-2020,294,51353,20,4661
