reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
08-03-2020,7,67,1,1
09-03-2020,19,86,0,1
10-03-2020,9,95,0,1
11-03-2020,21,116,1,2
12-03-2020,40,156,0,2
13-03-2020,42,198,0,2
14-03-2020,59,257,0,2
15-03-2020,84,341,0,2
16-03-2020,100,441,3,5
17-03-2020,156,597,3,8
18-03-2020,130,727,1,9
19-03-2020,146,873,3,12
20-03-2020,214,1087,1,13
21-03-2020,244,1331,5,18
22-03-2020,140,1471,3,21
23-03-2020,620,2091,3,24
24-03-2020,728,2819,3,27
25-03-2020,589,3408,8,35
26-03-2020,634,4042,4,39
27-03-2020,714,4756,16,55
28-03-2020,898,5654,6,61
29-03-2020,665,6319,5,66
30-03-2020,1127,7446,24,90
31-03-2020,1143,8589,36,126
01-04-2020,1599,10188,19,145
02-04-2020,1587,11775,25,170
03-04-2020,1200,12975,53,223
04-04-2020,1429,14404,48,271
05-04-2020,1508,15912,31,302
06-04-2020,1246,17158,51,353
07-04-2020,1400,18558,64,417
08-04-2020,1292,19850,55,472
09-04-2020,1549,21399,69,541
10-04-2020,1313,22712,74,615
11-04-2020,1246,23958,74,689
12-04-2020,1093,25051,56,745
13-04-2020,1374,26425,76,821
14-04-2020,1460,27885,145,966
15-04-2020,1346,29231,104,1070
16-04-2020,1732,30963,179,1249
17-04-2020,1879,32842,116,1365
18-04-2020,1534,34376,162,1527
19-04-2020,1634,36010,109,1636
20-04-2020,1841,37851,121,1757
21-04-2020,1532,39383,152,1909
22-04-2020,1964,41347,163,2072
23-04-2020,1866,43213,160,2232
24-04-2020,1627,44840,157,2389
25-04-2020,1418,46258,163,2552
26-04-2020,1584,47842,118,2670
27-04-2020,1607,49449,147,2817
28-04-2020,1483,50932,141,2958
29-04-2020,1702,52634,175,3133
30-04-2020,1575,54209,145,3278
01-05-2020,1955,56164,229,3507
02-05-2020,1577,57741,147,3654
03-05-2020,2560,60301,114,3768
04-05-2020,1485,61786,212,3980
05-05-2020,1268,63054,187,4167
06-05-2020,1487,64541,180,4347
07-05-2020,1510,66051,175,4522
08-05-2020,1468,67519,155,4677
09-05-2020,1242,68761,125,4802
10-05-2020,1166,69927,161,4963
11-05-2020,1188,71115,136,5099
12-05-2020,1158,72273,183,5282
13-05-2020,1146,73419,127,5409
14-05-2020,1216,74635,166,5575
15-05-2020,1176,75811,87,5662
16-05-2020,1231,77042,118,5780
17-05-2020,1129,78171,103,5883
18-05-2020,1086,79257,57,5940
19-05-2020,1117,80374,70,6010
20-05-2020,1078,81452,125,6135
21-05-2020,1174,82626,114,6249
22-05-2020,1210,83836,92,6341
23-05-2020,1200,85036,105,6446
24-05-2020,956,85992,68,6514
25-05-2020,1027,87019,121,6635
26-05-2020,975,87994,96,6731
27-05-2020,895,88889,125,6856
28-05-2020,994,89883,106,6962
29-05-2020,932,90815,83,7045
30-05-2020,776,91591,96,7141
31-05-2020,805,92396,215,7356
01-06-2020,817,93213,29,7385
02-06-2020,672,93885,71,7456
03-06-2020,689,94574,102,7558
04-06-2020,624,95198,139,7697
05-06-2020,682,95880,61,7758
06-06-2020,520,96400,72,7830
07-06-2020,700,97100,27,7857
08-06-2020,615,97715,33,7890
09-06-2020,459,98174,59,7949
10-06-2020,481,98655,59,8008
11-06-2020,439,99094,41,8049
12-06-2020,443,99537,54,8103
13-06-2020,448,99985,59,8162
14-06-2020,355,100340,35,8197
15-06-2020,375,100715,30,8227
16-06-2020,333,101048,41,8268
17-06-2020,392,101440,35,8303
18-06-2020,377,101817,47,8350
19-06-2020,442,102259,45,8395
20-06-2020,367,102626,60,8455
21-06-2020,298,102924,14,8469
22-06-2020,358,103282,12,8481
23-06-2020,357,103639,18,8499
24-06-2020,318,103957,31,8530
25-06-2020,369,104326,22,8552
26-06-2020,176,104502,4,8556
27-06-2020,244,104746,9,8565
28-06-2020,292,105038,5,8570
29-06-2020,646,105684,47,8617
30-06-2020,279,105963,22,8639
01-07-2020,191,106154,28,8667
02-07-2020,357,106511,23,8690
03-07-2020,325,106836,22,8712
04-07-2020,222,107058,8,8720
05-07-2020,206,107264,9,8729
06-07-2020,426,107690,9,8738
07-07-2020,205,107895,17,8755
08-07-2020,313,108208,22,8777
09-07-2020,322,108530,10,8787
10-07-2020,322,108852,14,8801
11-07-2020,175,109027,8,8809
12-07-2020,201,109228,8,8817
13-07-2020,680,109908,10,8827
14-07-2020,303,110211,9,8836
15-07-2020,343,110554,12,8848
16-07-2020,446,111000,18,8866
17-07-2020,433,111433,8,8874
18-07-2020,367,111800,8,8882
19-07-2020,319,112119,4,8886
20-07-2020,800,112919,5,8891
21-07-2020,560,113479,5,8896
22-07-2020,522,114001,7,8903
23-07-2020,460,114461,4,8907
24-07-2020,555,115016,7,8914
25-07-2020,339,115355,5,8919
26-07-2020,316,115671,5,8924
27-07-2020,722,116393,11,8935
28-07-2020,406,116799,13,8948
29-07-2020,498,117297,6,8954
30-07-2020,342,117639,12,8966
31-07-2020,497,118136,5,8971
01-08-2020,274,118410,6,8977
02-08-2020,239,118649,4,8981
03-08-2020,218,118867,5,8986
04-08-2020,704,119571,10,8996
05-08-2020,387,119958,4,9000
06-08-2020,366,120324,4,9004
07-08-2020,423,120747,4,9008
08-08-2020,251,120998,7,9015
09-08-2020,212,121210,4,9019
10-08-2020,693,121903,6,9025
11-08-2020,350,122253,5,9030
12-08-2020,403,122656,14,9044
13-08-2020,394,123050,10,9054
14-08-2020,403,123453,5,9059
15-08-2020,230,123683,3,9062
16-08-2020,171,123854,2,9064
17-08-2020,734,124588,6,9070
18-08-2020,357,124945,10,9080
19-08-2020,321,125266,5,9085
20-08-2020,404,125670,5,9090
21-08-2020,510,126180,11,9101
22-08-2020,226,126406,6,9107
23-08-2020,246,126652,3,9110
24-08-2020,803,127455,9,9119
25-08-2020,309,127764,8,9127
26-08-2020,485,128249,2,9129
27-08-2020,451,128700,7,9136
28-08-2020,506,129206,9,9145
29-08-2020,281,129487,5,9150
30-08-2020,243,129730,3,9153
31-08-2020,1051,130781,9,9162
01-09-2020,500,131281,6,9168
02-09-2020,505,131786,4,9172
03-09-2020,587,132373,6,9178
04-09-2020,610,132983,2,9180
05-09-2020,359,133342,2,9182
06-09-2020,366,133708,0,9182
07-09-2020,431,134139,2,9184
08-09-2020,1471,135610,8,9192
09-09-2020,582,136192,3,9195
10-09-2020,624,136816,7,9202
11-09-2020,725,137541,3,9205
12-09-2020,466,138007,6,9211
13-09-2020,535,138542,2,9213
14-09-2020,1418,139960,8,9221
15-09-2020,797,140757,9,9230
16-09-2020,954,141711,5,9235
17-09-2020,1167,142878,4,9239
18-09-2020,1042,143920,6,9245
19-09-2020,835,144755,6,9251
20-09-2020,801,145556,5,9256
21-09-2020,1855,147411,12,9268
22-09-2020,1288,148699,7,9275
23-09-2020,1099,149798,9,9284
24-09-2020,1325,151123,6,9290
25-09-2020,1448,152571,5,9295
26-09-2020,1247,153818,8,9303
27-09-2020,1412,155230,5,9308
28-09-2020,2243,157473,10,9318
29-09-2020,1668,159141,13,9331
30-09-2020,1817,160958,6,9337
01-10-2020,1821,162779,22,9359
02-10-2020,2121,164900,98,9457
03-10-2020,1802,166702,52,9509
04-10-2020,1609,168311,14,9523
05-10-2020,2907,171218,26,9549
06-10-2020,2379,173597,25,9574
07-10-2020,1859,175456,11,9585
08-10-2020,2474,177930,14,9599
09-10-2020,2531,180461,29,9628
10-10-2020,2118,182579,23,9651
11-10-2020,1600,184179,6,9657
12-10-2020,1732,185911,15,9672
13-10-2020,3420,189331,24,9696
14-10-2020,2549,191880,12,9708
15-10-2020,2271,194151,40,9748
16-10-2020,2566,196717,23,9771
17-10-2020,2027,198744,17,9788
18-10-2020,1791,200535,14,9802
19-10-2020,3267,203802,19,9821
20-10-2020,2325,206127,19,9840
21-10-2020,2697,208824,34,9874
22-10-2020,2841,211665,33,9907
23-10-2020,2648,214313,24,9931
24-10-2020,2212,216525,31,9962
25-10-2020,2055,218580,23,9985
26-10-2020,4166,222746,31,10016
27-10-2020,2718,225464,26,10042
28-10-2020,2663,228127,33,10075
29-10-2020,3014,231141,43,10118
30-10-2020,3548,234689,37,10155
31-10-2020,2359,237048,25,10180
01-11-2020,2286,239334,39,10219
02-11-2020,3588,242922,34,10253
03-11-2020,4741,247663,72,10325
04-11-2020,3309,250972,56,10381
05-11-2020,3123,254095,51,10432
06-11-2020,4533,258628,52,10484
07-11-2020,3409,262037,54,10538
08-11-2020,3154,265191,25,10563
09-11-2020,6546,271737,47,10610
10-11-2020,4486,276223,69,10679
11-11-2020,3281,279504,56,10735
12-11-2020,6185,285689,79,10814
13-11-2020,4770,290459,57,10871
14-11-2020,3362,293821,58,10929
15-11-2020,3248,297069,52,10981
16-11-2020,8129,305198,74,11055
17-11-2020,4470,309668,62,11117
18-11-2020,4516,314184,101,11218
19-11-2020,4790,318974,74,11292
20-11-2020,5008,323982,74,11366
21-11-2020,4913,328895,70,11436
22-11-2020,4671,333566,47,11483
23-11-2020,6883,340449,63,11546
24-11-2020,5284,345733,104,11650
25-11-2020,5124,350857,90,11740
26-11-2020,5728,356585,88,11828
27-11-2020,5955,362540,99,11927
28-11-2020,5621,368161,76,12003
29-11-2020,5362,373523,52,12055
30-11-2020,7916,381439,103,12158
01-12-2020,5656,387095,89,12247
02-12-2020,6409,393504,112,12359
03-12-2020,6205,399709,85,12444
04-12-2020,6462,406171,95,12539
05-12-2020,6235,412406,88,12627
06-12-2020,6275,418681,87,12714
07-12-2020,7924,426605,104,12818
08-12-2020,6196,432801,96,12914
09-12-2020,6356,439157,123,13037
10-12-2020,6708,445865,127,13164
11-12-2020,6680,452545,120,13284
12-12-2020,5903,458448,106,13390
13-12-2020,5814,464262,80,13470
14-12-2020,8551,472813,121,13591
15-12-2020,6184,478997,113,13704
16-12-2020,6537,485534,132,13836
17-12-2020,7038,492572,121,13957
18-12-2020,6701,499273,115,14072
19-12-2020,6366,505639,126,14198
20-12-2020,5812,511451,62,14260
21-12-2020,7843,519294,112,14372
22-12-2020,6264,525558,104,14476
23-12-2020,6952,532510,178,14654
24-12-2020,5695,538205,120,14774
25-12-2020,409,538614,1,14775
26-12-2020,1732,540346,9,14784
27-12-2020,9804,550150,161,14945
28-12-2020,10706,560856,274,15219
29-12-2020,8878,569734,207,15426
30-12-2020,7599,577333,120,15546
31-12-2020,7107,584440,120,15666
01-01-2021,735,585175,12,15678
02-01-2021,4627,589802,50,15728
03-01-2021,12075,601877,168,15896
04-01-2021,14319,616196,222,16118
