reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
12-03-2020,1,1,0,0
13-03-2020,0,1,0,0
14-03-2020,1,2,0,0
15-03-2020,4,6,0,0
16-03-2020,1,7,0,0
17-03-2020,1,8,0,0
18-03-2020,3,11,0,0
19-03-2020,0,11,0,0
20-03-2020,0,11,0,0
21-03-2020,6,17,0,0
22-03-2020,0,17,0,0
23-03-2020,0,17,0,0
24-03-2020,1,18,0,0
25-03-2020,8,26,0,0
26-03-2020,7,33,0,0
27-03-2020,12,45,0,0
28-03-2020,6,51,0,0
29-03-2020,15,66,0,0
30-03-2020,2,68,0,0
31-03-2020,2,70,0,0
01-04-2020,11,81,0,0
02-04-2020,10,91,0,0
03-04-2020,4,95,0,0
04-04-2020,3,98,0,0
05-04-2020,3,101,0,0
06-04-2020,2,103,0,0
07-04-2020,2,105,0,0
08-04-2020,3,108,0,0
09-04-2020,3,111,0,0
10-04-2020,1,112,0,0
11-04-2020,0,112,0,0
12-04-2020,2,114,0,0
13-04-2020,2,116,0,0
14-04-2020,0,116,0,0
15-04-2020,1,117,0,0
16-04-2020,0,117,0,0
17-04-2020,0,117,0,0
18-04-2020,1,118,0,0
19-04-2020,0,118,0,0
20-04-2020,0,118,0,0
21-04-2020,0,118,0,0
22-04-2020,0,118,0,0
23-04-2020,0,118,0,0
24-04-2020,0,118,0,0
25-04-2020,0,118,0,0
26-04-2020,0,118,0,0
27-04-2020,0,118,0,0
28-04-2020,0,118,0,0
29-04-2020,0,118,0,0
30-04-2020,0,118,0,0
01-05-2020,0,118,0,0
02-05-2020,0,118,0,0
03-05-2020,0,118,0,0
04-05-2020,0,118,0,0
05-05-2020,1,119,0,0
06-05-2020,1,120,0,0
07-05-2020,0,120,0,0
08-05-2020,0,120,0,0
09-05-2020,0,120,0,0
10-05-2020,0,120,0,0
11-05-2020,0,120,0,0
12-05-2020,0,120,0,0
13-05-2020,0,120,0,0
14-05-2020,0,120,0,0
15-05-2020,0,120,0,0
16-05-2020,0,120,0,0
17-05-2020,0,120,0,0
18-05-2020,0,120,0,0
19-05-2020,0,120,0,0
20-05-2020,0,120,0,0
21-05-2020,1,121,0,0
22-05-2020,0,121,0,0
23-05-2020,0,121,0,0
24-05-2020,0,121,0,0
25-05-2020,0,121,0,0
26-05-2020,1,122,0,0
27-05-2020,1,123,0,0
28-05-2020,3,126,0,0
29-05-2020,2,128,0,0
30-05-2020,1,129,0,0
31-05-2020,3,132,0,0
01-06-2020,0,132,0,0
02-06-2020,1,133,0,0
03-06-2020,2,135,0,0
04-06-2020,1,136,1,1
05-06-2020,0,136,0,1
06-06-2020,0,136,0,1
07-06-2020,1,137,0,1
08-06-2020,9,146,0,1
09-06-2020,1,147,0,1
10-06-2020,4,151,0,1
11-06-2020,2,153,0,1
12-06-2020,1,154,0,1
13-06-2020,3,157,1,2
14-06-2020,0,157,0,2
15-06-2020,3,160,0,2
16-06-2020,3,163,0,2
17-06-2020,0,163,0,2
18-06-2020,0,163,0,2
19-06-2020,0,163,0,2
20-06-2020,1,164,0,2
21-06-2020,0,164,0,2
22-06-2020,0,164,0,2
23-06-2020,1,165,0,2
24-06-2020,0,165,0,2
25-06-2020,0,165,0,2
26-06-2020,0,165,0,2
27-06-2020,0,165,0,2
28-06-2020,0,165,0,2
29-06-2020,0,165,0,2
30-06-2020,0,165,0,2
01-07-2020,0,165,0,2
02-07-2020,0,165,0,2
03-07-2020,0,165,0,2
04-07-2020,0,165,0,2
05-07-2020,0,165,0,2
06-07-2020,0,165,0,2
07-07-2020,0,165,0,2
08-07-2020,0,165,0,2
09-07-2020,1,166,0,2
10-07-2020,0,166,0,2
11-07-2020,0,166,0,2
12-07-2020,0,166,0,2
13-07-2020,0,166,0,2
14-07-2020,1,167,0,2
15-07-2020,1,168,0,2
16-07-2020,0,168,0,2
17-07-2020,0,168,0,2
18-07-2020,0,168,0,2
19-07-2020,1,169,0,2
20-07-2020,1,170,0,2
21-07-2020,0,170,0,2
22-07-2020,0,170,0,2
23-07-2020,0,170,0,2
24-07-2020,0,170,0,2
25-07-2020,0,170,0,2
26-07-2020,0,170,0,2
27-07-2020,0,170,0,2
28-07-2020,0,170,0,2
29-07-2020,0,170,0,2
30-07-2020,0,170,0,2
31-07-2020,0,170,0,2
01-08-2020,0,170,0,2
02-08-2020,0,170,0,2
03-08-2020,0,170,0,2
04-08-2020,0,170,0,2
05-08-2020,4,174,0,2
06-08-2020,2,176,0,2
07-08-2020,0,176,0,2
08-08-2020,0,176,0,2
09-08-2020,0,176,0,2
10-08-2020,0,176,0,2
11-08-2020,1,177,0,2
12-08-2020,1,178,0,2
13-08-2020,2,180,0,2
14-08-2020,0,180,0,2
15-08-2020,4,184,0,2
16-08-2020,2,186,0,2
17-08-2020,0,186,0,2
18-08-2020,0,186,0,2
19-08-2020,0,186,0,2
20-08-2020,0,186,0,2
21-08-2020,2,188,0,2
22-08-2020,0,188,0,2
23-08-2020,1,189,0,2
24-08-2020,0,189,0,2
25-08-2020,1,190,0,2
26-08-2020,0,190,0,2
27-08-2020,0,190,0,2
28-08-2020,1,191,0,2
29-08-2020,0,191,0,2
30-08-2020,0,191,0,2
31-08-2020,0,191,0,2
01-09-2020,0,191,0,2
02-09-2020,1,192,0,2
03-09-2020,0,192,0,2
04-09-2020,0,192,0,2
05-09-2020,0,192,0,2
06-09-2020,0,192,0,2
07-09-2020,0,192,0,2
08-09-2020,0,192,0,2
09-09-2020,0,192,0,2
10-09-2020,1,193,0,2
11-09-2020,0,193,0,2
12-09-2020,0,193,0,2
13-09-2020,0,193,0,2
14-09-2020,1,194,0,2
15-09-2020,0,194,0,2
16-09-2020,0,194,0,2
17-09-2020,0,194,0,2
18-09-2020,0,194,0,2
19-09-2020,0,194,0,2
20-09-2020,0,194,0,2
21-09-2020,2,196,0,2
22-09-2020,0,196,0,2
23-09-2020,1,197,0,2
24-09-2020,2,199,0,2
25-09-2020,1,200,0,2
26-09-2020,0,200,0,2
27-09-2020,0,200,0,2
28-09-2020,0,200,0,2
29-09-2020,0,200,0,2
30-09-2020,0,200,0,2
01-10-2020,0,200,0,2
