reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
14-03-2020,1,1,0,0
15-03-2020,0,1,0,0
16-03-2020,0,1,0,0
17-03-2020,2,3,0,0
18-03-2020,0,3,0,0
19-03-2020,0,3,0,0
20-03-2020,1,4,0,0
21-03-2020,2,6,0,0
22-03-2020,3,9,0,0
23-03-2020,15,24,0,0
24-03-2020,11,35,0,0
25-03-2020,32,67,0,0
26-03-2020,15,82,0,0
27-03-2020,20,102,0,0
28-03-2020,18,120,0,0
29-03-2020,15,135,0,0
30-03-2020,13,148,1,1
31-03-2020,4,152,0,1
01-04-2020,23,175,0,1
02-04-2020,8,183,0,1
03-04-2020,12,195,0,1
04-04-2020,8,203,0,1
05-04-2020,14,217,0,1
06-04-2020,9,226,1,2
07-04-2020,2,228,0,2
08-04-2020,4,232,0,2
09-04-2020,4,236,0,2
10-04-2020,3,239,1,3
11-04-2020,2,241,0,3
12-04-2020,1,242,0,3
13-04-2020,2,244,0,3
14-04-2020,0,244,0,3
15-04-2020,3,247,0,3
16-04-2020,5,252,0,3
17-04-2020,4,256,0,3
18-04-2020,0,256,0,3
19-04-2020,0,256,0,3
20-04-2020,0,256,0,3
21-04-2020,0,256,0,3
22-04-2020,0,256,0,3
23-04-2020,0,256,0,3
24-04-2020,0,256,0,3
25-04-2020,1,257,0,3
26-04-2020,1,258,0,3
27-04-2020,0,258,0,3
28-04-2020,0,258,0,3
29-04-2020,0,258,0,3
30-04-2020,0,258,0,3
01-05-2020,1,259,0,3
02-05-2020,0,259,0,3
03-05-2020,0,259,0,3
04-05-2020,0,259,0,3
05-05-2020,0,259,0,3
06-05-2020,0,259,0,3
07-05-2020,1,260,0,3
08-05-2020,0,260,0,3
09-05-2020,0,260,0,3
10-05-2020,0,260,0,3
11-05-2020,0,260,0,3
12-05-2020,0,260,0,3
13-05-2020,0,260,0,3
14-05-2020,0,260,0,3
15-05-2020,0,260,0,3
16-05-2020,0,260,0,3
17-05-2020,0,260,0,3
18-05-2020,0,260,0,3
19-05-2020,0,260,0,3
20-05-2020,0,260,0,3
21-05-2020,0,260,0,3
22-05-2020,0,260,0,3
23-05-2020,0,260,0,3
24-05-2020,0,260,0,3
25-05-2020,0,260,0,3
26-05-2020,0,260,0,3
27-05-2020,0,260,0,3
28-05-2020,1,261,0,3
29-05-2020,0,261,0,3
30-05-2020,0,261,0,3
31-05-2020,0,261,0,3
01-06-2020,0,261,0,3
02-06-2020,0,261,0,3
03-06-2020,0,261,0,3
04-06-2020,0,261,0,3
05-06-2020,0,261,0,3
06-06-2020,0,261,0,3
07-06-2020,0,261,0,3
08-06-2020,0,261,0,3
09-06-2020,0,261,0,3
10-06-2020,0,261,0,3
11-06-2020,0,261,0,3
12-06-2020,0,261,0,3
13-06-2020,0,261,0,3
14-06-2020,0,261,0,3
15-06-2020,0,261,0,3
16-06-2020,0,261,0,3
17-06-2020,0,261,0,3
18-06-2020,0,261,0,3
19-06-2020,0,261,0,3
20-06-2020,0,261,0,3
21-06-2020,0,261,0,3
22-06-2020,0,261,0,3
23-06-2020,0,261,0,3
24-06-2020,0,261,0,3
25-06-2020,0,261,0,3
26-06-2020,0,261,0,3
27-06-2020,0,261,0,3
28-06-2020,0,261,0,3
29-06-2020,0,261,0,3
30-06-2020,0,261,0,3
01-07-2020,0,261,0,3
02-07-2020,0,261,0,3
03-07-2020,0,261,0,3
04-07-2020,0,261,0,3
05-07-2020,0,261,0,3
06-07-2020,0,261,0,3
07-07-2020,0,261,0,3
08-07-2020,0,261,0,3
09-07-2020,0,261,0,3
10-07-2020,1,262,0,3
11-07-2020,0,262,0,3
12-07-2020,0,262,0,3
13-07-2020,0,262,0,3
14-07-2020,0,262,0,3
15-07-2020,0,262,0,3
