reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
15-03-2020,3,3,0,0
16-03-2020,2,5,0,0
17-03-2020,2,7,0,0
18-03-2020,5,12,0,0
19-03-2020,2,14,0,0
20-03-2020,1,15,0,0
21-03-2020,6,21,0,0
22-03-2020,7,28,0,0
23-03-2020,13,41,0,0
24-03-2020,10,51,0,0
25-03-2020,17,68,0,0
26-03-2020,5,73,0,0
27-03-2020,17,90,0,0
28-03-2020,20,110,0,0
29-03-2020,12,122,0,0
30-03-2020,5,127,0,0
31-03-2020,20,147,0,0
01-04-2020,26,173,0,0
02-04-2020,20,193,0,0
03-04-2020,14,207,0,0
04-04-2020,29,236,0,0
05-04-2020,26,262,0,0
06-04-2020,31,293,0,0
07-04-2020,17,310,1,1
08-04-2020,32,342,0,1
09-04-2020,31,373,1,2
10-04-2020,34,407,0,2
11-04-2020,21,428,0,2
12-04-2020,17,445,0,2
13-04-2020,29,474,1,3
14-04-2020,43,517,0,3
15-04-2020,32,549,0,3
16-04-2020,30,579,0,3
17-04-2020,27,606,1,4
18-04-2020,43,649,3,7
19-04-2020,26,675,2,9
20-04-2020,46,721,0,9
21-04-2020,16,737,1,10
22-04-2020,35,772,2,12
23-04-2020,55,827,4,16
24-04-2020,23,850,0,16
25-04-2020,15,865,6,22
26-04-2020,8,873,2,24
27-04-2020,27,900,0,24
28-04-2020,15,915,3,27
29-04-2020,20,935,1,28
30-04-2020,12,947,0,28
01-05-2020,12,959,1,29
02-05-2020,4,963,2,31
03-05-2020,8,971,6,37
04-05-2020,14,985,1,38
05-05-2020,6,991,3,41
06-05-2020,7,998,0,41
07-05-2020,9,1007,3,44
08-05-2020,1,1008,2,46
09-05-2020,3,1011,1,47
10-05-2020,7,1018,0,47
11-05-2020,1,1019,1,48
12-05-2020,1,1020,0,48
13-05-2020,4,1024,3,51
14-05-2020,2,1026,0,51
15-05-2020,8,1034,4,55
16-05-2020,3,1037,0,55
17-05-2020,3,1040,0,55
18-05-2020,3,1043,0,55
19-05-2020,1,1044,1,56
20-05-2020,1,1045,1,57
21-05-2020,1,1046,1,58
22-05-2020,1,1047,0,58
23-05-2020,1,1048,0,58
24-05-2020,1,1049,0,58
25-05-2020,1,1050,0,58
26-05-2020,2,1052,1,59
27-05-2020,1,1053,0,59
28-05-2020,2,1055,0,59
29-05-2020,0,1055,0,59
30-05-2020,1,1056,1,60
31-05-2020,0,1056,0,60
01-06-2020,1,1057,0,60
02-06-2020,0,1057,0,60
03-06-2020,1,1058,0,60
04-06-2020,0,1058,1,61
05-06-2020,0,1058,0,61
06-06-2020,0,1058,0,61
07-06-2020,1,1059,0,61
08-06-2020,0,1059,0,61
09-06-2020,1,1060,1,62
10-06-2020,1,1061,0,62
11-06-2020,0,1061,0,62
12-06-2020,0,1061,0,62
13-06-2020,0,1061,0,62
14-06-2020,0,1061,0,62
15-06-2020,0,1061,0,62
16-06-2020,0,1061,0,62
17-06-2020,0,1061,0,62
18-06-2020,0,1061,0,62
19-06-2020,0,1061,0,62
20-06-2020,0,1061,0,62
21-06-2020,0,1061,0,62
22-06-2020,0,1061,1,63
23-06-2020,0,1061,0,63
24-06-2020,0,1061,0,63
25-06-2020,0,1061,0,63
26-06-2020,0,1061,0,63
27-06-2020,0,1061,0,63
28-06-2020,0,1061,0,63
29-06-2020,0,1061,0,63
30-06-2020,1,1062,0,63
01-07-2020,1,1063,0,63
02-07-2020,1,1064,0,63
03-07-2020,0,1064,0,63
04-07-2020,0,1064,0,63
05-07-2020,0,1064,0,63
06-07-2020,1,1065,0,63
07-07-2020,0,1065,0,63
08-07-2020,1,1066,0,63
09-07-2020,0,1066,0,63
10-07-2020,0,1066,0,63
11-07-2020,0,1066,0,63
12-07-2020,0,1066,0,63
13-07-2020,0,1066,0,63
14-07-2020,0,1066,0,63
15-07-2020,1,1067,0,63
16-07-2020,0,1067,0,63
17-07-2020,0,1067,0,63
18-07-2020,0,1067,0,63
19-07-2020,0,1067,0,63
20-07-2020,0,1067,0,63
21-07-2020,0,1067,0,63
22-07-2020,0,1067,0,63
23-07-2020,0,1067,0,63
24-07-2020,0,1067,0,63
25-07-2020,0,1067,0,63
26-07-2020,0,1067,0,63
27-07-2020,0,1067,0,63
28-07-2020,0,1067,0,63
29-07-2020,0,1067,1,64
30-07-2020,0,1067,0,64
