reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
12-03-2020,1,1,0,0
13-03-2020,1,2,0,0
14-03-2020,4,6,0,0
15-03-2020,0,6,0,0
16-03-2020,1,7,0,0
17-03-2020,1,8,0,0
18-03-2020,8,16,0,0
19-03-2020,4,20,0,0
20-03-2020,6,26,0,0
21-03-2020,18,44,0,0
22-03-2020,8,52,0,0
23-03-2020,14,66,0,0
24-03-2020,6,72,0,0
25-03-2020,14,86,0,0
26-03-2020,9,95,0,0
27-03-2020,9,104,0,0
28-03-2020,30,134,0,0
29-03-2020,22,156,0,0
30-03-2020,20,176,2,2
31-03-2020,8,184,0,2
01-04-2020,9,193,1,3
02-04-2020,13,206,0,3
03-04-2020,14,220,0,3
04-04-2020,11,231,0,3
05-04-2020,18,249,0,3
06-04-2020,4,253,0,3
07-04-2020,7,260,0,3
08-04-2020,11,271,0,3
09-04-2020,7,278,0,3
10-04-2020,7,285,0,3
11-04-2020,4,289,1,4
12-04-2020,9,298,0,4
13-04-2020,2,300,0,4
14-04-2020,1,301,0,4
15-04-2020,3,304,0,4
16-04-2020,1,305,0,4
17-04-2020,2,307,0,4
18-04-2020,6,313,0,4
19-04-2020,2,315,0,4
20-04-2020,1,316,0,4
21-04-2020,4,320,0,4
22-04-2020,6,326,0,4
23-04-2020,5,331,0,4
24-04-2020,10,341,0,4
25-04-2020,8,349,0,4
26-04-2020,4,353,0,4
27-04-2020,12,365,1,5
28-04-2020,1,366,0,5
29-04-2020,17,383,1,6
30-04-2020,6,389,0,6
01-05-2020,26,415,0,6
02-05-2020,6,421,0,6
03-05-2020,12,433,0,6
04-05-2020,34,467,0,6
05-05-2020,20,487,0,6
06-05-2020,25,512,0,6
07-05-2020,19,531,0,6
08-05-2020,13,544,0,6
09-05-2020,9,553,0,6
10-05-2020,11,564,0,6
11-05-2020,4,568,0,6
12-05-2020,5,573,0,6
13-05-2020,5,578,0,6
14-05-2020,5,583,0,6
15-05-2020,8,591,0,6
16-05-2020,1,592,0,6
17-05-2020,1,593,0,6
18-05-2020,0,593,0,6
19-05-2020,7,600,0,6
20-05-2020,21,621,1,7
21-05-2020,2,623,0,7
22-05-2020,5,628,0,7
