,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,08-03-2020,7,67,1,1
1,09-03-2020,19,86,0,1
2,10-03-2020,9,95,0,1
3,11-03-2020,21,116,1,2
4,12-03-2020,40,156,0,2
5,13-03-2020,42,198,0,2
6,14-03-2020,59,257,0,2
7,15-03-2020,84,341,0,2
8,16-03-2020,100,441,3,5
9,17-03-2020,156,597,3,8
10,18-03-2020,130,727,1,9
11,19-03-2020,146,873,3,12
12,20-03-2020,214,1087,1,13
13,21-03-2020,244,1331,5,18
14,22-03-2020,140,1471,3,21
15,23-03-2020,620,2091,3,24
16,24-03-2020,728,2819,3,27
17,25-03-2020,589,3408,8,35
18,26-03-2020,634,4042,4,39
19,27-03-2020,714,4756,16,55
20,28-03-2020,898,5654,6,61
21,29-03-2020,665,6319,5,66
22,30-03-2020,1127,7446,24,90
23,31-03-2020,1143,8589,36,126
24,01-04-2020,1589,10178,17,143
25,02-04-2020,1588,11766,27,170
26,03-04-2020,1195,12961,53,223
27,04-04-2020,1435,14396,48,271
28,05-04-2020,1508,15904,32,303
29,06-04-2020,1246,17150,50,353
30,07-04-2020,1388,18538,64,417
31,08-04-2020,1306,19844,55,472
32,09-04-2020,1550,21394,69,541
33,10-04-2020,1314,22708,73,614
34,11-04-2020,1220,23928,70,684
35,12-04-2020,1116,25044,56,740
36,13-04-2020,1391,26435,78,818
37,14-04-2020,1450,27885,147,965
38,15-04-2020,1336,29221,104,1069
39,16-04-2020,1746,30967,180,1249
40,17-04-2020,1881,32848,115,1364
41,18-04-2020,1534,34382,163,1527
42,19-04-2020,1648,36030,111,1638
43,20-04-2020,1823,37853,116,1754
44,21-04-2020,1532,39385,154,1908
45,22-04-2020,1962,41347,164,2072
46,23-04-2020,1871,43218,160,2232
47,24-04-2020,1626,44844,157,2389
48,25-04-2020,1420,46264,163,2552
49,26-04-2020,1588,47852,118,2670
50,27-04-2020,1602,49454,147,2817
51,28-04-2020,1482,50936,141,2958
52,29-04-2020,1704,52640,175,3133
53,30-04-2020,1580,54220,145,3278
54,01-05-2020,1956,56176,229,3507
55,02-05-2020,1579,57755,147,3654
56,03-05-2020,2560,60315,115,3769
57,04-05-2020,1485,61800,210,3979
58,05-05-2020,1268,63068,188,4167
59,06-05-2020,1487,64555,180,4347
60,07-05-2020,1510,66065,175,4522
61,08-05-2020,1459,67524,155,4677
62,09-05-2020,1244,68768,125,4802
63,10-05-2020,1167,69935,161,4963
64,11-05-2020,1185,71120,134,5097
65,12-05-2020,1157,72277,185,5282
66,13-05-2020,1146,73423,127,5409
67,14-05-2020,1217,74640,164,5573
68,15-05-2020,1176,75816,89,5662
69,16-05-2020,1231,77047,118,5780
70,17-05-2020,1129,78176,103,5883
71,18-05-2020,1086,79262,57,5940
72,19-05-2020,1117,80379,70,6010
73,20-05-2020,1078,81457,124,6134
74,21-05-2020,1174,82631,115,6249
75,22-05-2020,1210,83841,92,6341
76,23-05-2020,1200,85041,105,6446
77,24-05-2020,957,85998,68,6514
78,25-05-2020,1027,87025,121,6635
79,26-05-2020,974,87999,96,6731
80,27-05-2020,895,88894,125,6856
81,28-05-2020,994,89888,106,6962
82,29-05-2020,932,90820,83,7045
83,30-05-2020,777,91597,96,7141
84,31-05-2020,805,92402,215,7356
85,01-06-2020,816,93218,29,7385
86,02-06-2020,672,93890,71,7456
87,03-06-2020,684,94574,102,7558
88,04-06-2020,624,95198,139,7697
89,05-06-2020,682,95880,61,7758
90,06-06-2020,520,96400,72,7830
91,07-06-2020,700,97100,27,7857
92,08-06-2020,615,97715,33,7890
93,09-06-2020,459,98174,59,7949
94,10-06-2020,481,98655,61,8010
95,11-06-2020,439,99094,40,8050
96,12-06-2020,443,99537,54,8104
97,13-06-2020,448,99985,59,8163
98,14-06-2020,355,100340,36,8199
99,15-06-2020,375,100715,28,8227
100,16-06-2020,333,101048,41,8268
101,17-06-2020,392,101440,35,8303
102,18-06-2020,377,101817,47,8350
103,19-06-2020,442,102259,45,8395
104,20-06-2020,367,102626,60,8455
105,21-06-2020,298,102924,14,8469
106,22-06-2020,358,103282,12,8481
107,23-06-2020,357,103639,18,8499
108,24-06-2020,319,103958,31,8530
109,25-06-2020,369,104327,22,8552
110,26-06-2020,175,104502,4,8556
111,27-06-2020,244,104746,9,8565
112,28-06-2020,292,105038,5,8570
113,29-06-2020,646,105684,47,8617
114,30-06-2020,279,105963,22,8639
115,01-07-2020,192,106155,28,8667
116,02-07-2020,356,106511,23,8690
117,03-07-2020,326,106837,22,8712
118,04-07-2020,222,107059,8,8720
119,05-07-2020,207,107266,9,8729
120,06-07-2020,424,107690,9,8738
121,07-07-2020,205,107895,17,8755
122,08-07-2020,313,108208,22,8777
123,09-07-2020,322,108530,10,8787
124,10-07-2020,322,108852,14,8801
125,11-07-2020,175,109027,8,8809
126,12-07-2020,202,109229,8,8817
127,13-07-2020,679,109908,10,8827
128,14-07-2020,303,110211,9,8836
129,15-07-2020,343,110554,12,8848
130,16-07-2020,446,111000,18,8866
131,17-07-2020,433,111433,8,8874
132,18-07-2020,367,111800,8,8882
133,19-07-2020,319,112119,4,8886
134,20-07-2020,800,112919,5,8891
135,21-07-2020,561,113480,5,8896
136,22-07-2020,521,114001,7,8903
137,23-07-2020,460,114461,4,8907
138,24-07-2020,555,115016,7,8914
139,25-07-2020,339,115355,5,8919
140,26-07-2020,316,115671,5,8924
141,27-07-2020,722,116393,11,8935
142,28-07-2020,406,116799,13,8948
143,29-07-2020,498,117297,6,8954
144,30-07-2020,342,117639,12,8966
145,31-07-2020,497,118136,5,8971
146,01-08-2020,274,118410,6,8977
147,02-08-2020,239,118649,4,8981
148,03-08-2020,218,118867,5,8986
149,04-08-2020,704,119571,10,8996
150,05-08-2020,387,119958,4,9000
151,06-08-2020,366,120324,4,9004
152,07-08-2020,423,120747,4,9008
153,08-08-2020,252,120999,7,9015
154,09-08-2020,212,121211,4,9019
155,10-08-2020,693,121904,6,9025
156,11-08-2020,349,122253,5,9030
157,12-08-2020,402,122655,14,9044
158,13-08-2020,394,123049,10,9054
159,14-08-2020,403,123452,5,9059
160,15-08-2020,230,123682,3,9062
161,16-08-2020,171,123853,2,9064
162,17-08-2020,734,124587,6,9070
163,18-08-2020,357,124944,10,9080
164,19-08-2020,321,125265,5,9085
165,20-08-2020,403,125668,5,9090
166,21-08-2020,511,126179,11,9101
167,22-08-2020,226,126405,6,9107
168,23-08-2020,249,126654,3,9110
169,24-08-2020,799,127453,9,9119
170,25-08-2020,310,127763,8,9127
171,26-08-2020,485,128248,2,9129
172,27-08-2020,450,128698,7,9136
173,28-08-2020,505,129203,9,9145
174,29-08-2020,284,129487,5,9150
175,30-08-2020,243,129730,3,9153
176,31-08-2020,1051,130781,9,9162
177,01-09-2020,500,131281,6,9168
178,02-09-2020,504,131785,4,9172
179,03-09-2020,588,132373,6,9178
180,04-09-2020,609,132982,2,9180
181,05-09-2020,359,133341,2,9182
182,06-09-2020,366,133707,0,9182
183,07-09-2020,433,134140,2,9184
184,08-09-2020,1471,135611,8,9192
185,09-09-2020,580,136191,3,9195
186,10-09-2020,624,136815,7,9202
187,11-09-2020,725,137540,3,9205
188,12-09-2020,466,138006,6,9211
189,13-09-2020,536,138542,2,9213
190,14-09-2020,1417,139959,8,9221
191,15-09-2020,797,140756,9,9230
192,16-09-2020,954,141710,5,9235
193,17-09-2020,1167,142877,4,9239
194,18-09-2020,1042,143919,6,9245
195,19-09-2020,835,144754,6,9251
196,20-09-2020,802,145556,5,9256
197,21-09-2020,1853,147409,12,9268
198,22-09-2020,1289,148698,7,9275
199,23-09-2020,1101,149799,9,9284
200,24-09-2020,1323,151122,6,9290
201,25-09-2020,1447,152569,5,9295
202,26-09-2020,1250,153819,8,9303
203,27-09-2020,1411,155230,5,9308
204,28-09-2020,2241,157471,10,9318
205,29-09-2020,1668,159139,13,9331
206,30-09-2020,1816,160955,6,9337
207,01-10-2020,1824,162779,22,9359
208,02-10-2020,2120,164899,98,9457
209,03-10-2020,1806,166705,52,9509
210,04-10-2020,1611,168316,14,9523
211,05-10-2020,2900,171216,26,9549
212,06-10-2020,2377,173593,25,9574
213,07-10-2020,1862,175455,11,9585
214,08-10-2020,2473,177928,14,9599
215,09-10-2020,2532,180460,29,9628
216,10-10-2020,2120,182580,23,9651
217,11-10-2020,1603,184183,6,9657
218,12-10-2020,1731,185914,15,9672
219,13-10-2020,3416,189330,24,9696
220,14-10-2020,2548,191878,12,9708
221,15-10-2020,2271,194149,40,9748
222,16-10-2020,2567,196716,23,9771
223,17-10-2020,2030,198746,17,9788
224,18-10-2020,1793,200539,14,9802
225,19-10-2020,3262,203801,19,9821
226,20-10-2020,2324,206125,19,9840
227,21-10-2020,2696,208821,34,9874
228,22-10-2020,2841,211662,33,9907
229,23-10-2020,2650,214312,24,9931
230,24-10-2020,2218,216530,31,9962
231,25-10-2020,2059,218589,24,9986
232,26-10-2020,4154,222743,30,10016
233,27-10-2020,2718,225461,26,10042
234,28-10-2020,2664,228125,33,10075
235,29-10-2020,3012,231137,43,10118
236,30-10-2020,3550,234687,37,10155
237,31-10-2020,2359,237046,25,10180
238,01-11-2020,2288,239334,39,10219
239,02-11-2020,3586,242920,34,10253
240,03-11-2020,4741,247661,72,10325
241,04-11-2020,3309,250970,56,10381
242,05-11-2020,3122,254092,51,10432
243,06-11-2020,4534,258626,52,10484
244,07-11-2020,3409,262035,54,10538
245,08-11-2020,3159,265194,25,10563
246,09-11-2020,6541,271735,47,10610
247,10-11-2020,4482,276217,69,10679
248,11-11-2020,3285,279502,56,10735
249,12-11-2020,6182,285684,79,10814
250,13-11-2020,4773,290457,57,10871
251,14-11-2020,3364,293821,58,10929
252,15-11-2020,3248,297069,52,10981
253,16-11-2020,8127,305196,74,11055
254,17-11-2020,4470,309666,62,11117
255,18-11-2020,4515,314181,101,11218
256,19-11-2020,4790,318971,74,11292
257,20-11-2020,5009,323980,74,11366
258,21-11-2020,4913,328893,70,11436
259,22-11-2020,4671,333564,47,11483
260,23-11-2020,6883,340447,63,11546
261,24-11-2020,5285,345732,104,11650
262,25-11-2020,5123,350855,90,11740
263,26-11-2020,5728,356583,88,11828
264,27-11-2020,5955,362538,99,11927
265,28-11-2020,5621,368159,76,12003
266,29-11-2020,5366,373525,52,12055
267,30-11-2020,7911,381436,103,12158
268,01-12-2020,5657,387093,89,12247
269,02-12-2020,6406,393499,112,12359
270,03-12-2020,6208,399707,85,12444
271,04-12-2020,6459,406166,95,12539
272,05-12-2020,6241,412407,88,12627
273,06-12-2020,6288,418695,87,12714
274,07-12-2020,7908,426603,104,12818
275,08-12-2020,6198,432801,96,12914
276,09-12-2020,6354,439155,123,13037
277,10-12-2020,6703,445858,127,13164
278,11-12-2020,6685,452543,120,13284
279,12-12-2020,5913,458456,106,13390
280,13-12-2020,5826,464282,80,13470
281,14-12-2020,8525,472807,121,13591
282,15-12-2020,6183,478990,113,13704
283,16-12-2020,6535,485525,132,13836
284,17-12-2020,7041,492566,121,13957
285,18-12-2020,6702,499268,115,14072
286,19-12-2020,6373,505641,126,14198
287,20-12-2020,5815,511456,62,14260
288,21-12-2020,7832,519288,112,14372
289,22-12-2020,6266,525554,104,14476
290,23-12-2020,6951,532505,178,14654
291,24-12-2020,5700,538205,120,14774
292,25-12-2020,414,538619,1,14775
293,26-12-2020,1734,540353,9,14784
294,27-12-2020,9806,550159,161,14945
295,28-12-2020,10707,560866,274,15219
296,29-12-2020,8861,569727,207,15426
297,30-12-2020,7599,577326,120,15546
298,31-12-2020,7117,584443,120,15666
299,01-01-2021,740,585183,12,15678
300,02-01-2021,4639,589822,50,15728
301,03-01-2021,12080,601902,168,15896
302,04-01-2021,14288,616190,222,16118
303,05-01-2021,7352,623542,163,16281
304,06-01-2021,7924,631466,172,16453
305,07-01-2021,8169,639635,175,16628
306,08-01-2021,9204,648839,156,16784
307,09-01-2021,8412,657251,130,16914
308,10-01-2021,6911,664162,82,16996
309,11-01-2021,8834,672996,151,17147
310,12-01-2021,6081,679077,169,17316
311,13-01-2021,7183,686260,146,17462
312,14-01-2021,7483,693743,153,17615
313,15-01-2021,6896,700639,144,17759
314,16-01-2021,6284,706923,144,17903
315,17-01-2021,5881,712804,148,18051
316,18-01-2021,6613,719417,115,18166
317,19-01-2021,5199,724616,155,18321
318,20-01-2021,5540,730156,196,18517
319,21-01-2021,6233,736389,165,18682
320,22-01-2021,5767,742156,190,18872
321,23-01-2021,4961,747117,136,19008
322,24-01-2021,4385,751502,107,19115
323,25-01-2021,5899,757401,169,19284
324,26-01-2021,4083,761484,156,19440
325,27-01-2021,4298,765782,131,19571
326,28-01-2021,4818,770600,120,19691
327,29-01-2021,4833,775433,154,19845
328,30-01-2021,3897,779330,126,19971
329,31-01-2021,3868,783198,73,20044
330,01-02-2021,4614,787812,110,20154
331,02-02-2021,2949,790761,105,20259
332,03-02-2021,3276,794037,125,20384
333,04-02-2021,4104,798141,126,20510
