,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,08-03-2020,0,27,1,1
1,09-03-2020,5,32,0,1
2,10-03-2020,7,39,0,1
3,11-03-2020,7,46,0,1
4,12-03-2020,7,53,0,1
5,13-03-2020,11,64,0,1
6,14-03-2020,9,73,0,1
7,15-03-2020,0,73,0,1
8,16-03-2020,30,103,3,4
9,17-03-2020,83,186,3,7
10,18-03-2020,45,231,0,7
11,19-03-2020,40,271,1,8
12,20-03-2020,77,348,1,9
13,21-03-2020,76,424,1,10
14,22-03-2020,0,424,0,10
15,23-03-2020,48,472,3,13
16,24-03-2020,145,617,0,13
17,25-03-2020,42,659,1,14
18,26-03-2020,66,725,0,14
19,27-03-2020,67,792,2,16
20,28-03-2020,92,884,1,17
21,29-03-2020,0,884,0,17
22,30-03-2020,86,970,2,19
23,31-03-2020,43,1013,5,24
24,01-04-2020,53,1066,1,25
25,02-04-2020,55,1121,6,31
26,03-04-2020,53,1174,4,35
27,04-04-2020,29,1203,3,38
28,05-04-2020,0,1203,0,38
29,06-04-2020,63,1266,1,39
30,07-04-2020,25,1291,4,43
31,08-04-2020,45,1336,5,48
32,09-04-2020,34,1370,2,50
33,10-04-2020,40,1410,5,55
34,11-04-2020,35,1445,3,58
35,12-04-2020,0,1445,0,58
36,13-04-2020,45,1490,11,69
37,14-04-2020,27,1517,3,72
38,15-04-2020,44,1561,3,75
39,16-04-2020,14,1575,2,77
40,17-04-2020,43,1618,1,78
41,18-04-2020,29,1647,3,81
42,19-04-2020,0,1647,0,81
43,20-04-2020,52,1699,5,86
44,21-04-2020,25,1724,1,87
45,22-04-2020,71,1795,3,90
46,23-04-2020,29,1824,4,94
47,24-04-2020,29,1853,4,98
48,25-04-2020,95,1948,2,100
49,26-04-2020,0,1948,0,100
50,27-04-2020,50,1998,3,103
51,28-04-2020,55,2053,2,105
52,29-04-2020,34,2087,4,109
53,30-04-2020,24,2111,2,111
54,01-05-2020,33,2144,1,112
55,02-05-2020,26,2170,2,114
56,03-05-2020,0,2170,0,114
57,04-05-2020,53,2223,3,117
58,05-05-2020,8,2231,4,121
