,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,12-03-2020,1,1,0,0
1,13-03-2020,3,4,0,0
2,14-03-2020,0,4,0,0
3,15-03-2020,3,7,0,0
4,16-03-2020,1,8,0,0
5,17-03-2020,7,15,0,0
6,18-03-2020,2,17,0,0
7,19-03-2020,0,17,0,0
8,20-03-2020,0,17,0,0
9,21-03-2020,2,19,0,0
10,22-03-2020,0,19,0,0
11,23-03-2020,1,20,0,0
12,24-03-2020,1,21,0,0
13,25-03-2020,14,35,0,0
14,26-03-2020,1,36,0,0
15,27-03-2020,3,39,1,1
16,28-03-2020,25,64,0,1
17,29-03-2020,8,72,0,1
18,30-03-2020,24,96,0,1
19,31-03-2020,7,103,0,1
20,01-04-2020,24,127,0,1
21,02-04-2020,40,167,0,1
22,03-04-2020,15,182,1,2
23,04-04-2020,12,194,0,2
24,05-04-2020,9,203,0,2
25,06-04-2020,1,204,0,2
26,07-04-2020,13,217,1,3
27,08-04-2020,4,221,0,3
28,09-04-2020,3,224,0,3
29,10-04-2020,6,230,1,4
30,11-04-2020,12,242,0,4
31,12-04-2020,0,242,0,4
32,13-04-2020,2,244,0,4
33,14-04-2020,0,244,0,4
34,15-04-2020,2,246,1,5
35,16-04-2020,4,250,0,5
36,17-04-2020,0,250,0,5
37,18-04-2020,3,253,0,5
38,19-04-2020,0,253,0,5
39,20-04-2020,1,254,1,6
40,21-04-2020,1,255,0,6
41,22-04-2020,2,257,0,6
42,23-04-2020,5,262,0,6
43,24-04-2020,1,263,0,6
44,25-04-2020,4,267,0,6
45,26-04-2020,4,271,0,6
46,27-04-2020,1,272,0,6
47,28-04-2020,0,272,0,6
48,29-04-2020,1,273,0,6
49,30-04-2020,2,275,0,6
50,01-05-2020,4,279,0,6
51,02-05-2020,0,279,0,6
52,03-05-2020,1,280,0,6
53,04-05-2020,0,280,0,6
54,05-05-2020,1,281,1,7
55,06-05-2020,2,283,0,7
56,07-05-2020,0,283,0,7
57,08-05-2020,1,284,0,7
58,09-05-2020,0,284,0,7
59,10-05-2020,3,287,0,7
