,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,15-03-2020,3,3,0,0
1,16-03-2020,2,5,0,0
2,17-03-2020,2,7,0,0
3,18-03-2020,5,12,0,0
4,19-03-2020,2,14,0,0
5,20-03-2020,1,15,0,0
6,21-03-2020,6,21,0,0
7,22-03-2020,7,28,0,0
8,23-03-2020,13,41,0,0
9,24-03-2020,10,51,0,0
10,25-03-2020,17,68,0,0
11,26-03-2020,5,73,0,0
12,27-03-2020,17,90,0,0
13,28-03-2020,20,110,0,0
14,29-03-2020,12,122,0,0
15,30-03-2020,5,127,0,0
16,31-03-2020,20,147,0,0
17,01-04-2020,26,173,0,0
18,02-04-2020,20,193,0,0
19,03-04-2020,14,207,0,0
20,04-04-2020,29,236,0,0
21,05-04-2020,26,262,0,0
22,06-04-2020,31,293,0,0
23,07-04-2020,17,310,1,1
24,08-04-2020,32,342,0,1
25,09-04-2020,31,373,1,2
26,10-04-2020,34,407,0,2
27,11-04-2020,21,428,0,2
28,12-04-2020,17,445,0,2
29,13-04-2020,29,474,1,3
30,14-04-2020,43,517,0,3
31,15-04-2020,32,549,0,3
32,16-04-2020,30,579,0,3
33,17-04-2020,27,606,1,4
34,18-04-2020,43,649,3,7
35,19-04-2020,26,675,2,9
36,20-04-2020,46,721,0,9
37,21-04-2020,16,737,1,10
38,22-04-2020,35,772,2,12
39,23-04-2020,55,827,4,16
40,24-04-2020,23,850,0,16
41,25-04-2020,15,865,6,22
42,26-04-2020,8,873,2,24
43,27-04-2020,27,900,0,24
44,28-04-2020,15,915,3,27
45,29-04-2020,20,935,1,28
46,30-04-2020,12,947,0,28
47,01-05-2020,12,959,1,29
48,02-05-2020,4,963,2,31
49,03-05-2020,8,971,6,37
50,04-05-2020,14,985,1,38
51,05-05-2020,6,991,3,41
52,06-05-2020,7,998,0,41
53,07-05-2020,9,1007,3,44
54,08-05-2020,1,1008,2,46
55,09-05-2020,3,1011,1,47
56,10-05-2020,7,1018,0,47
57,11-05-2020,1,1019,1,48
58,12-05-2020,1,1020,0,48
59,13-05-2020,4,1024,3,51
60,14-05-2020,2,1026,0,51
61,15-05-2020,8,1034,4,55
62,16-05-2020,3,1037,0,55
63,17-05-2020,3,1040,0,55
64,18-05-2020,3,1043,0,55
65,19-05-2020,1,1044,1,56
66,20-05-2020,1,1045,1,57
67,21-05-2020,1,1046,1,58
68,22-05-2020,1,1047,0,58
69,23-05-2020,1,1048,0,58
70,24-05-2020,1,1049,0,58
71,25-05-2020,1,1050,0,58
72,26-05-2020,2,1052,1,59
73,27-05-2020,1,1053,0,59
74,28-05-2020,2,1055,0,59
75,29-05-2020,0,1055,0,59
76,30-05-2020,1,1056,1,60
77,31-05-2020,0,1056,0,60
78,01-06-2020,1,1057,0,60
79,02-06-2020,0,1057,0,60
80,03-06-2020,1,1058,0,60
81,04-06-2020,0,1058,1,61
82,05-06-2020,0,1058,0,61
83,06-06-2020,0,1058,0,61
84,07-06-2020,1,1059,0,61
85,08-06-2020,0,1059,0,61
86,09-06-2020,1,1060,1,62
87,10-06-2020,1,1061,0,62
88,11-06-2020,0,1061,0,62
89,12-06-2020,0,1061,0,62
90,13-06-2020,0,1061,0,62
91,14-06-2020,0,1061,0,62
92,15-06-2020,0,1061,0,62
93,16-06-2020,0,1061,0,62
94,17-06-2020,0,1061,0,62
95,18-06-2020,0,1061,0,62
96,19-06-2020,0,1061,0,62
97,20-06-2020,0,1061,0,62
98,21-06-2020,0,1061,0,62
99,22-06-2020,0,1061,1,63
100,23-06-2020,0,1061,0,63
101,24-06-2020,0,1061,0,63
102,25-06-2020,0,1061,0,63
103,26-06-2020,0,1061,0,63
104,27-06-2020,0,1061,0,63
105,28-06-2020,0,1061,0,63
106,29-06-2020,0,1061,0,63
107,30-06-2020,1,1062,0,63
108,01-07-2020,1,1063,0,63
109,02-07-2020,1,1064,0,63
110,03-07-2020,0,1064,0,63
111,04-07-2020,0,1064,0,63
112,05-07-2020,0,1064,0,63
113,06-07-2020,1,1065,0,63
114,07-07-2020,0,1065,0,63
115,08-07-2020,1,1066,0,63
116,09-07-2020,0,1066,0,63
117,10-07-2020,0,1066,0,63
118,11-07-2020,0,1066,0,63
119,12-07-2020,0,1066,0,63
120,13-07-2020,0,1066,0,63
121,14-07-2020,0,1066,0,63
122,15-07-2020,1,1067,0,63
123,16-07-2020,0,1067,0,63
124,17-07-2020,0,1067,0,63
125,18-07-2020,0,1067,0,63
126,19-07-2020,0,1067,0,63
127,20-07-2020,0,1067,0,63
128,21-07-2020,0,1067,0,63
129,22-07-2020,0,1067,0,63
130,23-07-2020,0,1067,0,63
131,24-07-2020,0,1067,0,63
132,25-07-2020,0,1067,0,63
133,26-07-2020,0,1067,0,63
134,27-07-2020,0,1067,0,63
135,28-07-2020,0,1067,0,63
136,29-07-2020,0,1067,1,64
137,30-07-2020,0,1067,0,64
138,31-07-2020,2,1069,0,64
139,01-08-2020,0,1069,0,64
140,02-08-2020,2,1071,0,64
141,03-08-2020,0,1071,0,64
142,04-08-2020,0,1071,0,64
143,05-08-2020,0,1071,0,64
144,06-08-2020,0,1071,0,64
145,07-08-2020,0,1071,0,64
146,08-08-2020,0,1071,0,64
147,09-08-2020,0,1071,0,64
148,10-08-2020,0,1071,0,64
149,11-08-2020,0,1071,0,64
150,12-08-2020,0,1071,0,64
151,13-08-2020,0,1071,0,64
152,14-08-2020,1,1072,0,64
153,15-08-2020,2,1074,0,64
154,16-08-2020,0,1074,0,64
155,17-08-2020,1,1075,0,64
156,18-08-2020,0,1075,0,64
157,19-08-2020,1,1076,0,64
158,20-08-2020,1,1077,0,64
159,21-08-2020,0,1077,0,64
160,22-08-2020,1,1078,0,64
161,23-08-2020,2,1080,1,65
162,24-08-2020,0,1080,0,65
163,25-08-2020,0,1080,0,65
164,26-08-2020,1,1081,0,65
165,27-08-2020,0,1081,0,65
166,28-08-2020,2,1083,0,65
167,29-08-2020,0,1083,0,65
168,30-08-2020,0,1083,0,65
169,31-08-2020,2,1085,0,65
170,01-09-2020,0,1085,0,65
171,02-09-2020,0,1085,0,65
172,03-09-2020,0,1085,0,65
173,04-09-2020,0,1085,0,65
174,05-09-2020,0,1085,0,65
175,06-09-2020,0,1085,0,65
176,07-09-2020,1,1086,0,65
177,08-09-2020,0,1086,0,65
178,09-09-2020,0,1086,0,65
179,10-09-2020,0,1086,0,65
180,11-09-2020,0,1086,0,65
181,12-09-2020,0,1086,0,65
182,13-09-2020,0,1086,0,65
183,14-09-2020,0,1086,0,65
184,15-09-2020,0,1086,0,65
185,16-09-2020,0,1086,0,65
186,17-09-2020,0,1086,0,65
187,18-09-2020,0,1086,0,65
188,19-09-2020,0,1086,0,65
189,20-09-2020,0,1086,0,65
190,21-09-2020,0,1086,0,65
191,22-09-2020,1,1087,0,65
192,23-09-2020,0,1087,0,65
193,24-09-2020,0,1087,0,65
194,25-09-2020,0,1087,0,65
195,26-09-2020,0,1087,0,65
196,27-09-2020,0,1087,0,65
197,28-09-2020,0,1087,0,65
198,29-09-2020,0,1087,0,65
199,30-09-2020,1,1088,0,65
200,01-10-2020,0,1088,0,65
201,02-10-2020,1,1089,0,65
202,03-10-2020,0,1089,0,65
203,04-10-2020,0,1089,0,65
204,05-10-2020,0,1089,0,65
205,06-10-2020,0,1089,0,65
