,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,12-03-2020,1,1,0,0
1,13-03-2020,0,1,0,0
2,14-03-2020,1,2,0,0
3,15-03-2020,4,6,0,0
4,16-03-2020,1,7,0,0
5,17-03-2020,1,8,0,0
6,18-03-2020,3,11,0,0
7,19-03-2020,0,11,0,0
8,20-03-2020,0,11,0,0
9,21-03-2020,6,17,0,0
10,22-03-2020,0,17,0,0
11,23-03-2020,0,17,0,0
12,24-03-2020,1,18,0,0
13,25-03-2020,8,26,0,0
14,26-03-2020,7,33,0,0
15,27-03-2020,12,45,0,0
16,28-03-2020,6,51,0,0
17,29-03-2020,15,66,0,0
18,30-03-2020,2,68,0,0
19,31-03-2020,2,70,0,0
20,01-04-2020,11,81,0,0
21,02-04-2020,10,91,0,0
22,03-04-2020,4,95,0,0
23,04-04-2020,3,98,0,0
24,05-04-2020,3,101,0,0
25,06-04-2020,2,103,0,0
26,07-04-2020,2,105,0,0
27,08-04-2020,3,108,0,0
28,09-04-2020,3,111,0,0
29,10-04-2020,1,112,0,0
30,11-04-2020,0,112,0,0
31,12-04-2020,2,114,0,0
32,13-04-2020,2,116,0,0
33,14-04-2020,0,116,0,0
34,15-04-2020,1,117,0,0
35,16-04-2020,0,117,0,0
36,17-04-2020,0,117,0,0
37,18-04-2020,1,118,0,0
38,19-04-2020,0,118,0,0
39,20-04-2020,0,118,0,0
40,21-04-2020,0,118,0,0
41,22-04-2020,0,118,0,0
42,23-04-2020,0,118,0,0
43,24-04-2020,0,118,0,0
44,25-04-2020,0,118,0,0
45,26-04-2020,0,118,0,0
46,27-04-2020,0,118,0,0
47,28-04-2020,0,118,0,0
48,29-04-2020,0,118,0,0
49,30-04-2020,0,118,0,0
50,01-05-2020,0,118,0,0
51,02-05-2020,0,118,0,0
52,03-05-2020,0,118,0,0
53,04-05-2020,0,118,0,0
54,05-05-2020,1,119,0,0
55,06-05-2020,1,120,0,0
56,07-05-2020,0,120,0,0
57,08-05-2020,0,120,0,0
58,09-05-2020,0,120,0,0
59,10-05-2020,0,120,0,0
60,11-05-2020,0,120,0,0
61,12-05-2020,0,120,0,0
