,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,21-03-2020,1,1,0,0
1,22-03-2020,0,1,0,0
2,23-03-2020,0,1,0,0
3,24-03-2020,0,1,0,0
4,25-03-2020,0,1,0,0
5,26-03-2020,0,1,0,0
6,27-03-2020,0,1,0,0
7,28-03-2020,0,1,0,0
8,29-03-2020,0,1,0,0
9,30-03-2020,0,1,0,0
10,31-03-2020,0,1,0,0
11,01-04-2020,1,2,0,0
12,02-04-2020,0,2,0,0
13,03-04-2020,2,4,0,0
14,04-04-2020,0,4,0,0
15,05-04-2020,0,4,0,0
16,06-04-2020,1,5,0,0
17,07-04-2020,0,5,0,0
18,08-04-2020,0,5,0,0
19,09-04-2020,0,5,0,0
20,10-04-2020,0,5,0,0
21,11-04-2020,0,5,0,0
22,12-04-2020,0,5,0,0
23,13-04-2020,0,5,0,0
24,14-04-2020,0,5,0,0
25,15-04-2020,0,5,0,0
26,16-04-2020,0,5,0,0
27,17-04-2020,0,5,0,0
28,18-04-2020,0,5,0,0
29,19-04-2020,0,5,0,0
30,20-04-2020,0,5,0,0
31,21-04-2020,0,5,0,0
32,22-04-2020,0,5,0,0
33,23-04-2020,0,5,0,0
34,24-04-2020,0,5,0,0
35,25-04-2020,0,5,0,0
36,26-04-2020,0,5,0,0
37,27-04-2020,0,5,0,0
38,28-04-2020,0,5,0,0
39,29-04-2020,0,5,0,0
40,30-04-2020,0,5,0,0
41,01-05-2020,0,5,0,0
42,02-05-2020,0,5,0,0
43,03-05-2020,0,5,0,0
44,04-05-2020,0,5,0,0
45,05-05-2020,0,5,0,0
46,06-05-2020,0,5,0,0
47,07-05-2020,0,5,0,0
48,08-05-2020,0,5,0,0
49,09-05-2020,0,5,0,0
50,10-05-2020,0,5,0,0
51,11-05-2020,0,5,0,0
52,12-05-2020,0,5,0,0
53,13-05-2020,0,5,0,0
54,14-05-2020,0,5,0,0
55,15-05-2020,0,5,0,0
56,16-05-2020,0,5,0,0
57,17-05-2020,0,5,0,0
58,18-05-2020,0,5,0,0
59,19-05-2020,0,5,0,0
60,20-05-2020,0,5,0,0
61,21-05-2020,0,5,0,0
62,22-05-2020,0,5,0,0
63,23-05-2020,0,5,0,0
64,24-05-2020,0,5,0,0
65,25-05-2020,0,5,0,0
66,26-05-2020,0,5,0,0
67,27-05-2020,0,5,0,0
68,28-05-2020,0,5,0,0
69,29-05-2020,0,5,0,0
70,30-05-2020,0,5,0,0
71,31-05-2020,0,5,0,0
72,01-06-2020,0,5,0,0
73,02-06-2020,0,5,0,0
74,03-06-2020,0,5,0,0
75,04-06-2020,0,5,0,0
76,05-06-2020,0,5,0,0
77,06-06-2020,0,5,0,0
78,07-06-2020,0,5,0,0
79,08-06-2020,0,5,0,0
80,09-06-2020,0,5,0,0
81,10-06-2020,0,5,0,0
82,11-06-2020,0,5,0,0
83,12-06-2020,0,5,0,0
84,13-06-2020,0,5,0,0
85,14-06-2020,0,5,0,0
86,15-06-2020,0,5,0,0
87,16-06-2020,0,5,0,0
88,17-06-2020,0,5,0,0
89,18-06-2020,0,5,0,0
90,19-06-2020,0,5,0,0
91,20-06-2020,0,5,0,0
92,21-06-2020,0,5,0,0
93,22-06-2020,0,5,0,0
94,23-06-2020,0,5,0,0
95,24-06-2020,0,5,0,0
96,25-06-2020,0,5,0,0
97,26-06-2020,0,5,0,0
98,27-06-2020,0,5,0,0
99,28-06-2020,0,5,0,0
100,29-06-2020,0,5,0,0
101,30-06-2020,0,5,0,0
102,01-07-2020,0,5,0,0
103,02-07-2020,0,5,0,0
104,03-07-2020,0,5,0,0
105,04-07-2020,0,5,0,0
106,05-07-2020,0,5,0,0
107,06-07-2020,0,5,0,0
108,07-07-2020,0,5,0,0
109,08-07-2020,0,5,0,0
110,09-07-2020,0,5,0,0
111,10-07-2020,0,5,0,0
112,11-07-2020,0,5,0,0
113,12-07-2020,0,5,0,0
114,13-07-2020,0,5,0,0
115,14-07-2020,0,5,0,0
116,15-07-2020,0,5,0,0
117,16-07-2020,0,5,0,0
118,17-07-2020,0,5,0,0
119,18-07-2020,0,5,0,0
120,19-07-2020,0,5,0,0
121,20-07-2020,0,5,0,0
122,21-07-2020,0,5,0,0
123,22-07-2020,0,5,0,0
124,23-07-2020,0,5,0,0
125,24-07-2020,0,5,0,0
126,25-07-2020,0,5,0,0
127,26-07-2020,0,5,0,0
128,27-07-2020,0,5,0,0
129,28-07-2020,0,5,0,0
130,29-07-2020,0,5,0,0
131,30-07-2020,0,5,0,0
132,31-07-2020,0,5,0,0
133,01-08-2020,0,5,0,0
134,02-08-2020,0,5,0,0
135,03-08-2020,0,5,0,0
136,04-08-2020,0,5,0,0
137,05-08-2020,0,5,0,0
138,06-08-2020,0,5,0,0
139,07-08-2020,0,5,0,0
140,08-08-2020,0,5,0,0
141,09-08-2020,0,5,0,0
142,10-08-2020,0,5,0,0
143,11-08-2020,0,5,0,0
144,12-08-2020,0,5,0,0
145,13-08-2020,0,5,0,0
146,14-08-2020,0,5,0,0
147,15-08-2020,0,5,0,0
148,16-08-2020,0,5,0,0
149,17-08-2020,0,5,0,0
150,18-08-2020,0,5,0,0
151,19-08-2020,0,5,0,0
152,20-08-2020,0,5,0,0
153,21-08-2020,0,5,0,0
154,22-08-2020,0,5,0,0
155,23-08-2020,0,5,0,0
156,24-08-2020,0,5,0,0
157,25-08-2020,0,5,0,0
158,26-08-2020,0,5,0,0
159,27-08-2020,0,5,0,0
160,28-08-2020,0,5,0,0
161,29-08-2020,0,5,0,0
162,30-08-2020,0,5,0,0
163,31-08-2020,0,5,0,0
164,01-09-2020,0,5,0,0
165,02-09-2020,0,5,0,0
166,03-09-2020,0,5,0,0
167,04-09-2020,0,5,0,0
168,05-09-2020,0,5,0,0
169,06-09-2020,0,5,0,0
170,07-09-2020,0,5,0,0
171,08-09-2020,0,5,0,0
172,09-09-2020,0,5,0,0
173,10-09-2020,0,5,0,0
174,11-09-2020,0,5,0,0
175,12-09-2020,0,5,0,0
176,13-09-2020,0,5,0,0
177,14-09-2020,0,5,0,0
178,15-09-2020,0,5,0,0
179,16-09-2020,0,5,0,0
180,17-09-2020,0,5,0,0
181,18-09-2020,0,5,0,0
182,19-09-2020,0,5,0,0
183,20-09-2020,0,5,0,0
184,21-09-2020,0,5,0,0
185,22-09-2020,0,5,0,0
186,23-09-2020,0,5,0,0
187,24-09-2020,0,5,0,0
188,25-09-2020,0,5,0,0
