,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,06-11-2020,1,1,0,0
1,07-11-2020,0,1,0,0
2,08-11-2020,1,2,0,0
3,09-11-2020,0,2,0,0
4,10-11-2020,0,2,0,0
5,11-11-2020,1,3,0,0
6,12-11-2020,0,3,0,0
7,13-11-2020,1,4,0,0
8,14-11-2020,4,8,0,0
9,15-11-2020,10,18,0,0
10,16-11-2020,8,26,0,0
11,17-11-2020,34,60,0,0
12,18-11-2020,10,70,0,0
13,19-11-2020,4,74,0,0
14,20-11-2020,10,84,0,0
15,21-11-2020,25,109,0,0
16,22-11-2020,21,130,0,0
17,23-11-2020,4,134,0,0
18,24-11-2020,10,144,0,0
19,25-11-2020,11,155,0,0
20,26-11-2020,0,155,0,0
21,27-11-2020,4,159,0,0
22,28-11-2020,5,164,0,0
23,29-11-2020,13,177,0,0
24,30-11-2020,4,181,0,0
25,01-12-2020,1,182,0,0
26,02-12-2020,11,193,0,0
27,03-12-2020,5,198,0,0
28,04-12-2020,8,206,0,0
29,05-12-2020,8,214,0,0
30,06-12-2020,2,216,0,0
31,07-12-2020,3,219,0,0
32,08-12-2020,1,220,0,0
33,09-12-2020,9,229,0,0
34,10-12-2020,0,229,0,0
35,11-12-2020,16,245,0,0
36,12-12-2020,2,247,0,0
37,13-12-2020,0,247,0,0
38,14-12-2020,9,256,0,0
39,15-12-2020,2,258,0,0
40,16-12-2020,0,258,0,0
41,17-12-2020,1,259,0,0
42,18-12-2020,0,259,0,0
43,19-12-2020,0,259,0,0
44,20-12-2020,0,259,1,1
45,21-12-2020,3,262,0,1
46,22-12-2020,0,262,0,1
47,23-12-2020,2,264,0,1
48,24-12-2020,1,265,0,1
49,25-12-2020,0,265,0,1
50,26-12-2020,0,265,0,1
51,27-12-2020,0,265,0,1
52,28-12-2020,1,266,0,1
53,29-12-2020,0,266,0,1
54,30-12-2020,0,266,0,1
55,31-12-2020,0,266,0,1
56,01-01-2021,0,266,0,1
57,02-01-2021,0,266,0,1
58,03-01-2021,0,266,0,1
59,04-01-2021,0,266,0,1
60,05-01-2021,0,266,0,1
61,06-01-2021,0,266,0,1
62,07-01-2021,0,266,0,1
63,08-01-2021,0,266,0,1
64,09-01-2021,0,266,0,1
65,10-01-2021,0,266,0,1
66,11-01-2021,0,266,0,1
67,12-01-2021,0,266,0,1
68,13-01-2021,0,266,0,1
69,14-01-2021,0,266,0,1
70,15-01-2021,0,266,0,1
71,16-01-2021,0,266,0,1
72,17-01-2021,0,266,0,1
73,18-01-2021,0,266,0,1
74,19-01-2021,0,266,0,1
75,20-01-2021,0,266,0,1
76,21-01-2021,0,266,0,1
77,22-01-2021,0,266,0,1
78,23-01-2021,1,267,0,1
79,24-01-2021,13,280,0,1
80,25-01-2021,2,282,0,1
81,26-01-2021,0,282,0,1
82,27-01-2021,0,282,0,1
83,28-01-2021,1,283,0,1
84,29-01-2021,0,283,0,1
85,30-01-2021,1,284,0,1
86,31-01-2021,10,294,0,1
87,01-02-2021,0,294,0,1
88,02-02-2021,0,294,0,1
89,03-02-2021,0,294,0,1
90,04-02-2021,2,296,0,1
91,05-02-2021,0,296,0,1
92,06-02-2021,3,299,0,1
93,07-02-2021,0,299,0,1
94,08-02-2021,0,299,0,1
95,09-02-2021,0,299,0,1
96,10-02-2021,1,300,0,1
97,11-02-2021,3,303,0,1
98,12-02-2021,0,303,0,1
99,13-02-2021,5,308,0,1
100,14-02-2021,3,311,0,1
101,15-02-2021,7,318,0,1
102,16-02-2021,5,323,0,1
103,17-02-2021,1,324,0,1
104,18-02-2021,6,330,0,1
105,19-02-2021,2,332,0,1
106,20-02-2021,6,338,0,1
107,21-02-2021,1,339,0,1
108,22-02-2021,12,351,0,1
109,23-02-2021,0,351,0,1
110,24-02-2021,0,351,0,1
111,25-02-2021,4,355,0,1
112,26-02-2021,1,356,0,1
113,27-02-2021,0,356,0,1
114,28-02-2021,1,357,0,1
115,01-03-2021,1,358,0,1
116,02-03-2021,1,359,0,1
117,03-03-2021,0,359,0,1
118,04-03-2021,10,369,0,1
119,05-03-2021,4,373,0,1
120,06-03-2021,4,377,0,1
121,07-03-2021,4,381,0,1
122,08-03-2021,0,381,0,1
123,09-03-2021,0,381,0,1
124,10-03-2021,0,381,0,1
125,11-03-2021,0,381,0,1
126,12-03-2021,0,381,0,1
127,13-03-2021,2,383,0,1
128,14-03-2021,0,383,0,1
129,15-03-2021,0,383,0,1
130,16-03-2021,0,383,0,1
131,17-03-2021,12,395,3,4
132,18-03-2021,0,395,0,4
133,19-03-2021,0,395,0,4
134,20-03-2021,0,395,0,4
135,21-03-2021,0,395,0,4
136,22-03-2021,0,395,0,4
137,23-03-2021,0,395,0,4
138,24-03-2021,0,395,0,4
139,25-03-2021,0,395,0,4
140,26-03-2021,0,395,0,4
141,27-03-2021,0,395,0,4
142,28-03-2021,0,395,0,4
143,29-03-2021,0,395,0,4
144,30-03-2021,0,395,0,4
145,31-03-2021,0,395,0,4
146,01-04-2021,0,395,0,4
147,02-04-2021,0,395,0,4
148,03-04-2021,0,395,0,4
149,04-04-2021,0,395,0,4
150,05-04-2021,0,395,0,4
151,06-04-2021,0,395,0,4
152,07-04-2021,0,395,0,4
153,08-04-2021,0,395,0,4
154,09-04-2021,0,395,0,4
155,10-04-2021,0,395,0,4
156,11-04-2021,0,395,0,4
157,12-04-2021,0,395,0,4
158,13-04-2021,0,395,0,4
159,14-04-2021,0,395,0,4
160,15-04-2021,1,396,0,4
161,16-04-2021,12,408,0,4
162,17-04-2021,6,414,0,4
163,18-04-2021,3,417,0,4
164,19-04-2021,6,423,0,4
165,20-04-2021,5,428,0,4
166,21-04-2021,1,429,0,4
167,22-04-2021,3,432,0,4
168,23-04-2021,9,441,0,4
169,24-04-2021,7,448,0,4
170,25-04-2021,7,455,0,4
171,26-04-2021,9,464,0,4
172,27-04-2021,8,472,0,4
173,28-04-2021,6,478,0,4
174,29-04-2021,12,490,0,4
175,30-04-2021,11,501,0,4
176,01-05-2021,8,509,0,4
177,02-05-2021,11,520,0,4
178,03-05-2021,8,528,0,4
179,04-05-2021,7,535,0,4
180,05-05-2021,5,540,0,4
181,06-05-2021,12,552,0,4
182,07-05-2021,1,553,0,4
183,08-05-2021,7,560,0,4
184,09-05-2021,5,565,0,4
185,10-05-2021,7,572,0,4
186,11-05-2021,14,586,0,4
187,12-05-2021,8,594,0,4
188,13-05-2021,12,606,0,4
189,14-05-2021,12,618,0,4
190,15-05-2021,5,623,0,4
191,16-05-2021,0,623,0,4
192,17-05-2021,1,624,0,4
193,18-05-2021,6,630,0,4
194,19-05-2021,4,634,0,4
195,20-05-2021,2,636,0,4
196,21-05-2021,1,637,0,4
197,22-05-2021,1,638,0,4
198,23-05-2021,0,638,0,4
199,24-05-2021,1,639,0,4
200,25-05-2021,1,640,0,4
201,26-05-2021,7,647,0,4
202,27-05-2021,0,647,0,4
203,28-05-2021,1,648,0,4
204,29-05-2021,0,648,0,4
205,30-05-2021,0,648,0,4
206,31-05-2021,0,648,0,4
207,01-06-2021,0,648,0,4
208,02-06-2021,0,648,0,4
209,03-06-2021,0,648,0,4
210,04-06-2021,1,649,0,4
211,05-06-2021,0,649,0,4
212,06-06-2021,0,649,0,4
213,07-06-2021,0,649,0,4
214,08-06-2021,0,649,0,4
215,09-06-2021,0,649,0,4
216,10-06-2021,1,650,0,4
217,11-06-2021,4,654,0,4
218,12-06-2021,3,657,0,4
219,13-06-2021,0,657,0,4
220,14-06-2021,0,657,0,4
221,15-06-2021,0,657,0,4
222,16-06-2021,0,657,0,4
223,17-06-2021,0,657,0,4
224,18-06-2021,0,657,0,4
225,19-06-2021,0,657,0,4
226,20-06-2021,0,657,0,4
227,21-06-2021,0,657,0,4
228,22-06-2021,0,657,0,4
229,23-06-2021,0,657,0,4
230,24-06-2021,0,657,0,4
231,25-06-2021,0,657,0,4
232,26-06-2021,0,657,0,4
233,27-06-2021,0,657,0,4
234,28-06-2021,0,657,0,4
235,29-06-2021,0,657,0,4
236,30-06-2021,0,657,0,4
237,01-07-2021,0,657,0,4
238,02-07-2021,0,657,0,4
239,03-07-2021,0,657,0,4
240,04-07-2021,0,657,0,4
241,05-07-2021,0,657,0,4
242,06-07-2021,0,657,0,4
243,07-07-2021,0,657,0,4
244,08-07-2021,0,657,0,4
245,09-07-2021,0,657,0,4
246,10-07-2021,0,657,0,4
247,11-07-2021,0,657,0,4
248,12-07-2021,0,657,0,4
249,13-07-2021,0,657,0,4
250,14-07-2021,0,657,0,4
251,15-07-2021,0,657,0,4
252,16-07-2021,0,657,0,4
253,17-07-2021,0,657,0,4
254,18-07-2021,0,657,0,4
255,19-07-2021,0,657,0,4
256,20-07-2021,0,657,0,4
257,21-07-2021,0,657,0,4
258,22-07-2021,0,657,0,4
259,23-07-2021,0,657,0,4
260,24-07-2021,0,657,0,4
261,25-07-2021,0,657,0,4
262,26-07-2021,0,657,0,4
263,27-07-2021,0,657,0,4
264,28-07-2021,0,657,0,4
265,29-07-2021,0,657,0,4
266,30-07-2021,0,657,0,4
