,reporting_date,daily_cases,cumulative_cases,daily_deaths,cumulative_deaths
0,22-03-2020,2,2,0,0
1,23-03-2020,0,2,0,0
2,24-03-2020,0,2,0,0
3,25-03-2020,1,3,0,0
4,26-03-2020,0,3,0,0
5,27-03-2020,1,4,0,0
6,28-03-2020,0,4,0,0
7,29-03-2020,0,4,0,0
8,30-03-2020,1,5,0,0
9,31-03-2020,0,5,0,0
10,01-04-2020,1,6,0,0
11,02-04-2020,0,6,0,0
12,03-04-2020,0,6,0,0
13,04-04-2020,0,6,0,0
14,05-04-2020,0,6,0,0
15,06-04-2020,1,7,0,0
16,07-04-2020,0,7,0,0
17,08-04-2020,1,8,0,0
18,09-04-2020,0,8,0,0
19,10-04-2020,0,8,0,0
20,11-04-2020,0,8,0,0
21,12-04-2020,0,8,0,0
22,13-04-2020,0,8,0,0
23,14-04-2020,0,8,0,0
24,15-04-2020,0,8,0,0
25,16-04-2020,0,8,0,0
26,17-04-2020,1,9,0,0
27,18-04-2020,0,9,0,0
28,19-04-2020,0,9,0,0
29,20-04-2020,2,11,0,0
30,21-04-2020,0,11,0,0
31,22-04-2020,0,11,0,0
32,23-04-2020,0,11,0,0
33,24-04-2020,0,11,0,0
34,25-04-2020,0,11,0,0
35,26-04-2020,0,11,0,0
36,27-04-2020,0,11,0,0
37,28-04-2020,0,11,0,0
38,29-04-2020,0,11,0,0
39,30-04-2020,0,11,0,0
40,01-05-2020,0,11,0,0
41,02-05-2020,0,11,0,0
42,03-05-2020,0,11,0,0
43,04-05-2020,0,11,0,0
44,05-05-2020,0,11,0,0
45,06-05-2020,0,11,0,0
46,07-05-2020,0,11,0,0
47,08-05-2020,0,11,0,0
48,09-05-2020,0,11,0,0
49,10-05-2020,0,11,0,0
50,11-05-2020,0,11,0,0
51,12-05-2020,0,11,0,0
52,13-05-2020,0,11,0,0
53,14-05-2020,0,11,0,0
54,15-05-2020,0,11,0,0
55,16-05-2020,0,11,0,0
56,17-05-2020,0,11,0,0
57,18-05-2020,0,11,0,0
58,19-05-2020,0,11,0,0
59,20-05-2020,0,11,0,0
60,21-05-2020,0,11,0,0
61,22-05-2020,0,11,0,0
62,23-05-2020,0,11,0,0
63,24-05-2020,0,11,0,0
64,25-05-2020,0,11,0,0
65,26-05-2020,0,11,0,0
66,27-05-2020,0,11,0,0
67,28-05-2020,0,11,0,0
68,29-05-2020,0,11,0,0
69,30-05-2020,0,11,0,0
70,31-05-2020,0,11,0,0
71,01-06-2020,0,11,0,0
72,02-06-2020,0,11,0,0
73,03-06-2020,0,11,0,0
74,04-06-2020,0,11,0,0
75,05-06-2020,0,11,0,0
76,06-06-2020,0,11,0,0
77,07-06-2020,0,11,0,0
78,08-06-2020,0,11,0,0
79,09-06-2020,0,11,0,0
80,10-06-2020,0,11,0,0
81,11-06-2020,0,11,0,0
82,12-06-2020,0,11,0,0
83,13-06-2020,0,11,0,0
84,14-06-2020,0,11,0,0
85,15-06-2020,0,11,0,0
86,16-06-2020,0,11,0,0
87,17-06-2020,0,11,0,0
88,18-06-2020,0,11,0,0
89,19-06-2020,0,11,0,0
90,20-06-2020,0,11,0,0
91,21-06-2020,0,11,0,0
92,22-06-2020,0,11,0,0
93,23-06-2020,0,11,0,0
94,24-06-2020,0,11,0,0
95,25-06-2020,0,11,0,0
96,26-06-2020,0,11,0,0
97,27-06-2020,0,11,0,0
98,28-06-2020,0,11,0,0
99,29-06-2020,0,11,0,0
100,30-06-2020,0,11,0,0
101,01-07-2020,0,11,0,0
102,02-07-2020,0,11,0,0
103,03-07-2020,0,11,0,0
104,04-07-2020,0,11,0,0
105,05-07-2020,0,11,0,0
106,06-07-2020,0,11,0,0
107,07-07-2020,0,11,0,0
108,08-07-2020,0,11,0,0
109,09-07-2020,0,11,0,0
110,10-07-2020,0,11,0,0
111,11-07-2020,0,11,0,0
112,12-07-2020,0,11,0,0
113,13-07-2020,0,11,0,0
114,14-07-2020,0,11,0,0
115,15-07-2020,0,11,0,0
116,16-07-2020,0,11,0,0
117,17-07-2020,2,13,0,0
118,18-07-2020,0,13,0,0
119,19-07-2020,0,13,0,0
120,20-07-2020,0,13,0,0
121,21-07-2020,0,13,0,0
122,22-07-2020,0,13,0,0
123,23-07-2020,0,13,0,0
124,24-07-2020,1,14,0,0
125,25-07-2020,0,14,0,0
126,26-07-2020,0,14,0,0
127,27-07-2020,0,14,0,0
128,28-07-2020,0,14,0,0
129,29-07-2020,0,14,0,0
130,30-07-2020,0,14,0,0
131,31-07-2020,0,14,0,0
132,01-08-2020,0,14,0,0
133,02-08-2020,0,14,0,0
134,03-08-2020,0,14,0,0
135,04-08-2020,0,14,0,0
136,05-08-2020,0,14,0,0
137,06-08-2020,0,14,0,0
138,07-08-2020,1,15,0,0
139,08-08-2020,0,15,0,0
140,09-08-2020,0,15,0,0
141,10-08-2020,0,15,0,0
142,11-08-2020,0,15,0,0
143,12-08-2020,0,15,0,0
144,13-08-2020,0,15,0,0
145,14-08-2020,0,15,0,0
146,15-08-2020,0,15,0,0
147,16-08-2020,0,15,0,0
148,17-08-2020,0,15,0,0
149,18-08-2020,0,15,0,0
150,19-08-2020,0,15,0,0
151,20-08-2020,0,15,0,0
152,21-08-2020,0,15,0,0
153,22-08-2020,0,15,0,0
154,23-08-2020,0,15,0,0
155,24-08-2020,0,15,0,0
156,25-08-2020,0,15,0,0
157,26-08-2020,0,15,0,0
158,27-08-2020,0,15,0,0
159,28-08-2020,0,15,0,0
160,29-08-2020,0,15,0,0
161,30-08-2020,0,15,0,0
162,31-08-2020,0,15,0,0
163,01-09-2020,0,15,0,0
164,02-09-2020,0,15,0,0
165,03-09-2020,0,15,0,0
166,04-09-2020,0,15,0,0
167,05-09-2020,0,15,0,0
168,06-09-2020,0,15,0,0
169,07-09-2020,0,15,0,0
170,08-09-2020,0,15,0,0
171,09-09-2020,0,15,0,0
172,10-09-2020,0,15,0,0
173,11-09-2020,0,15,0,0
174,12-09-2020,0,15,0,0
175,13-09-2020,0,15,0,0
176,14-09-2020,0,15,0,0
177,15-09-2020,0,15,0,0
178,16-09-2020,0,15,0,0
179,17-09-2020,0,15,0,0
180,18-09-2020,0,15,0,0
181,19-09-2020,0,15,0,0
182,20-09-2020,0,15,0,0
183,21-09-2020,0,15,0,0
184,22-09-2020,0,15,0,0
185,23-09-2020,0,15,0,0
186,24-09-2020,0,15,0,0
187,25-09-2020,0,15,0,0
188,26-09-2020,0,15,0,0
189,27-09-2020,0,15,0,0
190,28-09-2020,0,15,0,0
191,29-09-2020,0,15,0,0
192,30-09-2020,0,15,0,0
193,01-10-2020,0,15,0,0
194,02-10-2020,0,15,0,0
195,03-10-2020,0,15,0,0
196,04-10-2020,0,15,0,0
197,05-10-2020,0,15,0,0
198,06-10-2020,0,15,0,0
199,07-10-2020,0,15,0,0
200,08-10-2020,0,15,0,0
201,09-10-2020,0,15,0,0
202,10-10-2020,0,15,0,0
203,11-10-2020,0,15,0,0
204,12-10-2020,0,15,0,0
205,13-10-2020,0,15,0,0
206,14-10-2020,0,15,0,0
207,15-10-2020,0,15,0,0
208,16-10-2020,0,15,0,0
209,17-10-2020,0,15,0,0
210,18-10-2020,0,15,0,0
211,19-10-2020,2,17,0,0
212,20-10-2020,0,17,0,0
213,21-10-2020,0,17,0,0
214,22-10-2020,0,17,0,0
215,23-10-2020,3,20,0,0
216,24-10-2020,0,20,0,0
217,25-10-2020,0,20,0,0
218,26-10-2020,2,22,0,0
219,27-10-2020,0,22,0,0
220,28-10-2020,0,22,0,0
221,29-10-2020,1,23,0,0
222,30-10-2020,0,23,1,1
223,31-10-2020,0,23,0,1
224,01-11-2020,0,23,0,1
225,02-11-2020,0,23,0,1
226,03-11-2020,0,23,0,1
227,04-11-2020,0,23,0,1
228,05-11-2020,0,23,0,1
229,06-11-2020,0,23,0,1
230,07-11-2020,0,23,0,1
231,08-11-2020,0,23,0,1
232,09-11-2020,0,23,0,1
233,10-11-2020,0,23,0,1
234,11-11-2020,0,23,0,1
235,12-11-2020,1,24,0,1
236,13-11-2020,0,24,0,1
237,14-11-2020,0,24,0,1
238,15-11-2020,0,24,0,1
239,16-11-2020,0,24,0,1
240,17-11-2020,1,25,0,1
241,18-11-2020,1,26,0,1
242,19-11-2020,0,26,0,1
243,20-11-2020,3,29,0,1
244,21-11-2020,3,32,0,1
245,22-11-2020,0,32,0,1
246,23-11-2020,6,38,0,1
247,24-11-2020,0,38,0,1
248,25-11-2020,1,39,0,1
249,26-11-2020,3,42,0,1
250,27-11-2020,3,45,0,1
251,28-11-2020,0,45,0,1
252,29-11-2020,1,46,0,1
253,30-11-2020,1,47,0,1
254,01-12-2020,0,47,0,1
255,02-12-2020,3,50,0,1
256,03-12-2020,1,51,0,1
257,04-12-2020,3,54,0,1
258,05-12-2020,0,54,0,1
259,06-12-2020,0,54,0,1
260,07-12-2020,3,57,0,1
261,08-12-2020,1,58,0,1
262,09-12-2020,0,58,0,1
263,10-12-2020,0,58,0,1
264,11-12-2020,0,58,0,1
265,12-12-2020,0,58,0,1
266,13-12-2020,0,58,0,1
267,14-12-2020,1,59,0,1
268,15-12-2020,0,59,0,1
269,16-12-2020,0,59,0,1
270,17-12-2020,0,59,0,1
271,18-12-2020,0,59,0,1
272,19-12-2020,0,59,0,1
273,20-12-2020,0,59,0,1
274,21-12-2020,0,59,0,1
275,22-12-2020,0,59,0,1
276,23-12-2020,0,59,0,1
277,24-12-2020,1,60,0,1
278,25-12-2020,0,60,0,1
279,26-12-2020,0,60,0,1
280,27-12-2020,0,60,0,1
281,28-12-2020,0,60,0,1
282,29-12-2020,0,60,0,1
283,30-12-2020,0,60,0,1
284,31-12-2020,0,60,0,1
285,01-01-2021,4,64,0,1
286,02-01-2021,0,64,0,1
287,03-01-2021,0,64,0,1
288,04-01-2021,1,65,0,1
289,05-01-2021,0,65,0,1
290,06-01-2021,1,66,0,1
291,07-01-2021,3,69,0,1
292,08-01-2021,1,70,0,1
293,09-01-2021,0,70,0,1
294,10-01-2021,0,70,0,1
295,11-01-2021,0,70,0,1
296,12-01-2021,0,70,0,1
297,13-01-2021,0,70,0,1
298,14-01-2021,0,70,0,1
299,15-01-2021,0,70,0,1
300,16-01-2021,0,70,0,1
301,17-01-2021,0,70,0,1
302,18-01-2021,0,70,0,1
303,19-01-2021,0,70,0,1
304,20-01-2021,0,70,0,1
305,21-01-2021,0,70,0,1
306,22-01-2021,0,70,0,1
307,23-01-2021,0,70,0,1
308,24-01-2021,0,70,0,1
309,25-01-2021,0,70,0,1
310,26-01-2021,0,70,0,1
311,27-01-2021,0,70,0,1
312,28-01-2021,0,70,0,1
313,29-01-2021,0,70,0,1
314,30-01-2021,0,70,0,1
315,31-01-2021,0,70,0,1
316,01-02-2021,0,70,0,1
317,02-02-2021,0,70,0,1
318,03-02-2021,0,70,0,1
319,04-02-2021,0,70,0,1
320,05-02-2021,0,70,0,1
321,06-02-2021,0,70,0,1
322,07-02-2021,0,70,0,1
323,08-02-2021,0,70,0,1
324,09-02-2021,0,70,0,1
325,10-02-2021,0,70,0,1
326,11-02-2021,0,70,0,1
327,12-02-2021,1,71,0,1
328,13-02-2021,0,71,0,1
329,14-02-2021,0,71,0,1
330,15-02-2021,1,72,0,1
331,16-02-2021,0,72,0,1
332,17-02-2021,0,72,0,1
333,18-02-2021,0,72,0,1
334,19-02-2021,0,72,0,1
335,20-02-2021,0,72,0,1
336,21-02-2021,0,72,0,1
337,22-02-2021,0,72,0,1
338,23-02-2021,0,72,0,1
339,24-02-2021,0,72,0,1
340,25-02-2021,0,72,0,1
341,26-02-2021,0,72,0,1
342,27-02-2021,0,72,0,1
343,28-02-2021,0,72,0,1
344,01-03-2021,0,72,0,1
345,02-03-2021,0,72,0,1
346,03-03-2021,0,72,0,1
347,04-03-2021,0,72,0,1
348,05-03-2021,0,72,0,1
349,06-03-2021,0,72,0,1
350,07-03-2021,0,72,0,1
351,08-03-2021,0,72,0,1
352,09-03-2021,0,72,0,1
353,10-03-2021,0,72,0,1
354,11-03-2021,0,72,0,1
355,12-03-2021,0,72,0,1
356,13-03-2021,0,72,0,1
357,14-03-2021,0,72,0,1
358,15-03-2021,0,72,0,1
359,16-03-2021,0,72,0,1
360,17-03-2021,0,72,0,1
361,18-03-2021,0,72,0,1
362,19-03-2021,0,72,0,1
363,20-03-2021,0,72,0,1
364,21-03-2021,0,72,0,1
365,22-03-2021,0,72,0,1
366,23-03-2021,0,72,0,1
367,24-03-2021,0,72,0,1
368,25-03-2021,1,73,0,1
369,26-03-2021,0,73,0,1
370,27-03-2021,0,73,0,1
371,28-03-2021,0,73,0,1
372,29-03-2021,0,73,0,1
373,30-03-2021,0,73,0,1
374,31-03-2021,1,74,0,1
375,01-04-2021,0,74,0,1
376,02-04-2021,0,74,0,1
377,03-04-2021,0,74,0,1
378,04-04-2021,0,74,0,1
379,05-04-2021,0,74,0,1
380,06-04-2021,0,74,0,1
381,07-04-2021,0,74,0,1
382,08-04-2021,0,74,0,1
383,09-04-2021,0,74,0,1
384,10-04-2021,0,74,0,1
385,11-04-2021,0,74,0,1
386,12-04-2021,1,75,0,1
387,13-04-2021,0,75,0,1
388,14-04-2021,1,76,0,1
389,15-04-2021,0,76,0,1
390,16-04-2021,0,76,0,1
391,17-04-2021,0,76,0,1
392,18-04-2021,0,76,0,1
393,19-04-2021,1,77,0,1
394,20-04-2021,0,77,0,1
395,21-04-2021,1,78,0,1
396,22-04-2021,2,80,0,1
397,23-04-2021,0,80,0,1
398,24-04-2021,0,80,0,1
399,25-04-2021,0,80,0,1
400,26-04-2021,1,81,1,2
401,27-04-2021,0,81,0,2
402,28-04-2021,0,81,0,2
403,29-04-2021,0,81,0,2
404,30-04-2021,0,81,0,2
405,01-05-2021,0,81,0,2
406,02-05-2021,0,81,0,2
407,03-05-2021,1,82,0,2
408,04-05-2021,0,82,0,2
409,05-05-2021,0,82,0,2
410,06-05-2021,0,82,0,2
411,07-05-2021,0,82,0,2
412,08-05-2021,0,82,0,2
413,09-05-2021,0,82,0,2
414,10-05-2021,0,82,0,2
415,11-05-2021,2,84,0,2
416,12-05-2021,0,84,0,2
417,13-05-2021,0,84,0,2
418,14-05-2021,0,84,0,2
419,15-05-2021,0,84,0,2
420,16-05-2021,0,84,0,2
421,17-05-2021,0,84,0,2
422,18-05-2021,0,84,0,2
423,19-05-2021,0,84,0,2
424,20-05-2021,0,84,0,2
425,21-05-2021,0,84,0,2
426,22-05-2021,0,84,0,2
427,23-05-2021,0,84,0,2
428,24-05-2021,0,84,0,2
429,25-05-2021,0,84,0,2
430,26-05-2021,0,84,0,2
431,27-05-2021,0,84,0,2
432,28-05-2021,0,84,0,2
433,29-05-2021,0,84,0,2
434,30-05-2021,0,84,0,2
435,31-05-2021,0,84,0,2
436,01-06-2021,0,84,0,2
437,02-06-2021,0,84,0,2
438,03-06-2021,0,84,0,2
439,04-06-2021,0,84,0,2
440,05-06-2021,0,84,0,2
441,06-06-2021,3,87,0,2
442,07-06-2021,0,87,0,2
443,08-06-2021,1,88,0,2
444,09-06-2021,4,92,0,2
445,10-06-2021,4,96,0,2
446,11-06-2021,2,98,0,2
447,12-06-2021,0,98,0,2
448,13-06-2021,6,104,0,2
449,14-06-2021,0,104,0,2
450,15-06-2021,16,120,1,3
451,16-06-2021,16,136,0,3
452,17-06-2021,9,145,0,3
453,18-06-2021,0,145,0,3
454,19-06-2021,42,187,0,3
455,20-06-2021,0,187,0,3
456,21-06-2021,0,187,0,3
457,22-06-2021,33,220,0,3
458,23-06-2021,4,224,0,3
459,24-06-2021,18,242,1,4
460,25-06-2021,22,264,0,4
461,26-06-2021,0,264,0,4
462,27-06-2021,44,308,0,4
463,28-06-2021,24,332,0,4
464,29-06-2021,10,342,1,5
465,30-06-2021,15,357,0,5
466,01-07-2021,0,357,0,5
467,02-07-2021,0,357,0,5
468,03-07-2021,31,388,0,5
469,04-07-2021,0,388,0,5
470,05-07-2021,37,425,0,5
471,06-07-2021,10,435,0,5
472,07-07-2021,12,447,0,5
473,08-07-2021,9,456,0,5
474,09-07-2021,5,461,0,5
475,10-07-2021,0,461,0,5
476,11-07-2021,0,461,0,5
477,12-07-2021,19,480,1,6
478,13-07-2021,4,484,0,6
479,14-07-2021,6,490,0,6
480,15-07-2021,7,497,0,6
481,16-07-2021,5,502,0,6
482,17-07-2021,0,502,0,6
483,18-07-2021,0,502,0,6
484,19-07-2021,20,522,0,6
485,20-07-2021,5,527,0,6
486,21-07-2021,7,534,0,6
487,22-07-2021,8,542,0,6
488,23-07-2021,9,551,0,6
489,24-07-2021,0,551,0,6
490,25-07-2021,0,551,0,6
491,26-07-2021,28,579,0,6
492,27-07-2021,3,582,0,6
493,28-07-2021,0,582,0,6
494,29-07-2021,7,589,1,7
495,30-07-2021,7,596,0,7
496,31-07-2021,0,596,0,7
497,01-08-2021,0,596,0,7
498,02-08-2021,7,603,1,8
499,03-08-2021,7,610,0,8
500,04-08-2021,6,616,0,8
501,05-08-2021,7,623,0,8
502,06-08-2021,1,624,0,8
503,07-08-2021,0,624,0,8
504,08-08-2021,0,624,0,8
505,09-08-2021,9,633,0,8
506,10-08-2021,3,636,0,8
507,11-08-2021,2,638,0,8
508,12-08-2021,7,645,0,8
509,13-08-2021,2,647,0,8
510,14-08-2021,0,647,0,8
511,15-08-2021,0,647,0,8
512,16-08-2021,0,647,0,8
513,17-08-2021,13,660,0,8
514,18-08-2021,0,660,0,8
